description,sentiment,PClass,PConfidence,SClass,SConfidence
"Aft lift inoperative open , doesn't lock doesn't go up During the cruise the lift at the aft was used to  bring one cart to economy, As soon as the cart came down it was opened and changed with dirty cart to be sent in business class Lift got jammed with error message PUSH STOP  2X RESET    NO TLC DATA  FAULT",negative,Security,Please manually Review,Security Search,66%
"Aggressive behaviour and physical abuse   After the bar service ,when doing clearance Mrs almarzooqi asked Cc Nathanun s438546 for a glass of water Cc Nathanun apologized for not having water with her and promised her to bring a glass of water ASAP Cc called Cc Paulo s450516 to get her glass of water Cc Paulo waited for the clearance cart to move away to serve the water and when passed the water to the customer he claimed that she shouted loudly at him and told him '' I want the other girl to give the water not you, she never come back to me'' and took the water Cc Nathanun came back with the meal cart and tried to explain that she asked her colleague to serve her the water since she was busy with clearance, Mrs al Marzooqi stood up push the IFE screen onto the crew and pushed her with her with one hand CC Stefania s444355 was witness and claimed that customer said '' I asked you to bring me the water why you send somebody else awhat you think of yourself!! Both crew stated that Mrs al Marzooqi was shouting very loud that other customers were disturbed from her behaviour and started shouting at her During we care Cc Paulo offered the drinks to first row but she refused ,as soon as Paulo passed to the next rows she started pressing the call bell repetitively When I approached customer she claimed she was ignored and never offered a drink, however all her family has 2drinks each Customer used abusive words  in Arabic ''Khara(shit), Hayawan(Animal)''",negative,Security,98%,Suspicious Behaviour,69%
"During this flight, we experienced problems with the Wi Fi (it was connecting only for a short time then dropping out) Some customers could connect for a short time and others could not connect at all A flight deck reset was carried out, but the proble",negative,Security,Please manually Review,Security Search,70%
"Communication shortfall between the Grooming Officer and the Purser in the Departure area in Headquarters   After all the crew had arrived in the briefing room, I noticed on the TV screen that one cabin crew member FG1 Brittany Richmond staff number 410545 had signed in however was not in the briefing room During the time I waited for Brittany, not knowing where she was, my Cabin supervisors and myself finished to do the following: Documents checks Safe Talk Flight instructions (as per my request)When all of the above had been done, Brittany had still not yet arrived, thus rather than conveying my goal and expectations (main briefing before Team Talk in groups), without Brittany been present, I went to the Briefing Desk to see if she was around and noticed three people in the Grooming Office I met with the Grooming Officer and asked if Brittany was present which she answered that she was as she had been selected to have a Grooming check The Grooming Officer stated that Brittany was wearing nail polish which was too clear and as a result she requested Brittany to paint her nails over with red colour, as a result this took some time thus it was the reason Brittany was not at the Briefing room yet",neutral,Cabin Crew,Please manually Review,Complaints,76%
"MOD                          Could not down load the flight details  The device did not sync, neither with the Net gear nor with the KiS tablet",negative,Product Development,Please manually Review,Ground to Pur Msgs,76%
Flight never closed hence MODs and KIS weren't synced,negative,Product Development,Please manually Review,Ground to Pur Msgs,77%
"I have been advised by Standards and Procedures Specialist 'Ines' to refer to you in regards to the procedure of writing a KIS report when carrying Valuable Cargo   The mentioned manual states that a KIS should be raised, however there is no section or",positive,Security,92%,Precious Cargo,77%
"Update skywards number on profile:  During the flight, Mr Almazrouei notified me that he did not have time to insert his skywards number into his profile therefore unable to log into complimentary Wi Fi for the duration of the flight Mr, Almazrouei showed me on his phone his skywards membership number and details  On my KIS tablet it stated that Mr Almazrouei was not a skywards member  Mr Almazrouei would like the skywards team to insert skywards frequent flyer number 107503690 onto his profile as he will not be able to do so while on holiday in NZ",neutral,Emirates Skywards,79%,Product Feedback,78%
VR RAISED IN ERROR,negative,Security,Please manually Review,General,80%
IFE rows 41 59 HJK stopped working approx one hour after takeoff,neutral,Airport,Please manually Review,Outstation,80%
