description,subcategory
MCL Light Call bell light at R5 mcl inop,Systems (non
Lavatory G R3 blocked toilet bowl,Lavatory
COCKROACH FOUND IN CABIN       During the safety  and security search CSV Donna Bekana s400917 spotted a cockroach around seat 45 ABC,Galley
COCKROACH FOUND IN CABIN       During the safety  and security search CSV Donna Bekana s400917 spotted a cockroach around seat 45 ABC,Galley
Feedback      Customer stated that the older A380 with the foot rest looks horrible and take up a lot of space,Systems (non
WIFI and live TV inop,Systems (non
"LIVE TV INOP  Sports channels on live TV, sports extra were inoperative though out the flight",Systems (non
"Waste tank no 4               As per the Flight instructions, the extra waste tank is supposed to be ignored as the CMS needs to be fixed for the same This is only for the B777 Q series",Lavatory
"Mr Alzeeby was upset that when using the remote, it has to be pointing at the tv screen to be usable As it is a wireless remote it should be working while docked in its holder Otherwise M Alazeeby was happy with the food and service provide slept most of the flight",Systems (non
"Mr Black was travelling in the game changer suites for the first time, he was very impressed with the new suites He was most impressed with the new size of the toilets, he found it easier to change in the new style toilets He commented that the only thing that would improve it would be to have showers available",Shower Spa
"Total of 5 customers had problems with seat functions andor tray table set up  One out of five agreed to move to another seat  16F,18k,24ef,18f",Systems (non
Customer in flight experience Suite function and comfort:  Shortly after take off customer informed crew that her foot rest would not raise up as high and at a level it normally would,Systems (non
Please note that Wifi and Aeromobile were both unavailable on this flight with a message on FAP Connectivity page stating that Avionic Data is missing,Systems (non
we have observed Common issues with Seat reclining function on This aircraft  most Common problem was either Seat hardly reclining back or Seat back itself,Systems (non
"AIRSHOW NOT WORKING :   Approximately 2h30min prior to arrival, a few customers informed the purser that the air show was not working properly anymore   Ie the air show was not displaying the movement of the aircraft   only a black screen with the white tab at the top of the screen displaying the different time zones and a red tab at the bottom with no information on it",Systems (non
This is to inform you that despite the wifi being fully functional as per the FAP some customers experienced some issues They were connected intermittently and some claimed they had paid for the service without ever being connected When checking crew found some phones were experiencing those problems,Systems (non
IFE Error   Some movies had Mandarin subtitles while others had Arabic subtitles eg channel 176,Systems (non
IFE Error   Some movies had Mandarin subtitles while others had Arabic subtitles eg channel 176,Systems (non
SEAT DIVEDER NOT LOGGED BY ENGINEER Please be informed That engineer called and came to look at 1AB and 4DE seat dividers that were not working He asked me to do seat reset Then he left telling CSV to tell me to log the defect after take off This is not a correct practice Please ensure engineer log the defects they cant fix and defer it in the log book,Systems (non
Cockroach in the cabin   A cockroach has been found at 6A after landing at the cup holder place,Lounge
Cockroach in the cabin   A cockroach has been found at 6A after landing at the cup holder place,Lounge
TRASH COMAPCTOR  Trash compactor was inop in the forward galley of economy and broke after take off in the aft of economy  We are facing a major issue with trash compactors on A380 they rarely work or if they work on the ground they will brake after take off  Please do something about it,Galley
Non of the hand mode controller could be unlocked,Systems (non
internet CONNECTION was inoperative for the whole flight,Systems (non
"Galley water leaks     Upon boarding I noticed that the water shut off valve at ML4 FWD galley had been shut off by previous crew  There was a note on the Crew hand over form with the information about the leaking galley  Purser and Captain informed  One hour before landing, there was a leak from the AFT ML4 galley leaking into the cabin and into the galley",Galley
"Galley water leaks     Upon boarding I noticed that the water shut off valve at ML4 FWD galley had been shut off by previous crew  There was a note on the Crew hand over form with the information about the leaking galley  Purser and Captain informed  One hour before landing, there was a leak from the AFT ML4 galley leaking into the cabin and into the galley",Galley
Crew and customers suggested to display Evian water underneath the screen in the lounge,Lounge
WIFI INOPERATIVE several customers reported that the wifi was not working,Systems (non
No wifi was available on today's flight When checking the system KU connection was not established,Systems (non
"The seats 8AB seem to have been inop (either IFE or seat movement) for several sectors now The seats in question are sometimes blocked in the system and no pax assigned to them, but other times not causing inconvenience for pax seated there and crew having to re seat them",Systems (non
"The seats 8AB seem to have been inop (either IFE or seat movement) for several sectors now The seats in question are sometimes blocked in the system and no pax assigned to them, but other times not causing inconvenience for pax seated there and crew having to re seat them",Systems (non
"The seats 8AB seem to have been inop (either IFE or seat movement) for several sectors now The seats in question are sometimes blocked in the system and no pax assigned to them, but other times not causing inconvenience for pax seated there and crew having to re seat them",Systems (non
"The seats 8AB seem to have been inop (either IFE or seat movement) for several sectors now The seats in question are sometimes blocked in the system and no pax assigned to them, but other times not causing inconvenience for pax seated there and crew having to re seat them",Systems (non
Mr Baldwin mode controller did not work and privacy divider did not go down fully,Systems (non
Mr Xie complained that his seat massage could not be turned off   The seat kept on vibrating,Systems (non
SEAT DIVIDERS TOO HIGH AND SEATS TOO NARROW   Several customers reported that new JC seat dividers are too high They said they can't properly talk to the person on the adjacent seat   One customer highlighted that she can't even see her little daughter on the seat next to her and she needs to get up to interact with her,Systems (non
"Internet Wi Fi was unavailable throughout the flight  Message was ground connection fault  Customers 11B, 6A and 10F were unhappy about wi fi",Systems (non
Leak from the ice stowage   There was water from the ice drawers that leaked into the cabin floor upon landing   This made the carpets wet at the aft section of the aircraft (ENC) SGN DXB,Galley
Leak in the mid galley chiller      Starting the service crew Anamaria noticed that 13 trays from the back of her cart were drenched in water,Galley
Leak in the mid galley chiller      Starting the service crew Anamaria noticed that 13 trays from the back of her cart were drenched in water,Galley
"CABIN LIGHTS OVER SEATS 42 43KJH NOT SWITCHING OFF   During take off, it was observed that the cabin lights over the area of seats 424344 KJH were not switching off, and they remained as in full bright, consequently, that area was still illuminated",Systems (non
"Defective LHS side shelf for Business Class lounge      Lounge shelf on left hand side was defective, only RHS shelf was put up for the flight",Lounge
"VARIOUS COMPLAINTS ABOUT THIS AIRCRAFT, BY CUSTOMERS (REG:A6ECV)   At least 30 people complained about: 1) Seat not staying in upright position (loose seatback) 2) Different IFE problems, to which we had to do a Master reset in Y class",Systems (non
Internet inoperative for five hours      The internet did not work the entire flight  Several customers complaint about the inoperative internet,Systems (non
WIFI was INOP   reset function was not available,Systems (non
The chiller at ML2 and Ml 2 galleys were inoperative   Defect was previously logged in the log book,Galley
CEILING LIGHT DEFECT: LIGHT BRIGHT IN SOME SPOT FOR ALL SCENARIO IN JC      The inboard ceiling light stayed bright at different spots on both LHS and RHS and couldn't be switch off using all the scenarios   The concerned rows where the lights was bright were : 6 8 ; 15 19; 22,Systems (non
"Microwave was INOP   During the flight microwave was INOP, soup, was not heated",Galley
Microwave doesn't heat well at the actual level (30%),Galley
LIGHTING  The lights surrounding the lounge at the top where the bar area is kept blinking  This was noted while we were on ground,Lounge
Mr Reibe level 1 and 2 massager were not working   However the rest of the levels (3 5) were working fine,Systems (non
Aircraft interior: window frame During disembarkation a customer told a cabin crew that his window was loose at 28K,Systems (non
Wifi was not working throughout the flight  Attempt of resets from the flight deck did not recover the service  Engineer advised to reset PAX BAND reset as per FCOM which also didn't help,Systems (non
Live tv problems Pcitures kept stoppingstarting like there wasn't enough data coming through,Systems (non
Live tv problems Pcitures kept stoppingstarting like there wasn't enough data coming through,Systems (non
