description,subcategory
"Duty free bag contained 1 bottle of alcohol, 1 carton of cigarette and pair of shoes was found at hatrack 46G", Dubai
"During disembarkation, customer claimed that her duty free shopping bag has been taken by other customer and another duty free bag left the hatrack 46G area  Customer claimed that her duty free shopping bag(Lotte duty free) contained dried seaweed, faci", Dubai
"DELAY   STD   23:50   ATD   00:22   Delay of 32 mins due to security Waiting for CID to arrive and remove cash found during Security search   Crew boarded at 22:38   First customer boarded at 00:04   Last customer boarded at 00:18   During the Pre Flight Security Search 6 bundles containing of 100USD notes (around 60000USD, according to CID), were found under 29A by CSV Mircea Gonciar Captain, Security personal, Police and Emirates ground staff were informed immediately CID arrived at 23:50, took photos, count and retrieved the money from the aircraft CID left at 00:03", Outstation
Mrs Daligdig was not happy on check in staff in Manila   She claimed that she had hand luggage of 10kgs and check in weighing 20kgs   She insisted that her allowance was 10kgs as she had brought the same from AMS   She claimed that she was not given, Outstation
Laptop found    Black and silver Mac Book Air found under seat 28G after pax disembarked, Dubai
An insufficient number of buses came to pick up economy class passengers upon our arrival into DXB (G01)   Approximately 40 passengers awaited the bus' arrival standing on the staircase (in the sun) for not less than 15 minutes   Ground staff advised, Dubai
"MrCarneiro informed me that He had no received his baggage When He got to Milan A few days earlier  He said that He was not given An IBDN form by the cabin crew  When He got to MXP, ground staff told him that they are aware About his missing baggage A", Outstation
Olympus silver camera forgotten on seat 28D, Dubai
UM customer     Mr Morgan ate the chicken meal and 7up drink  declined express breakfast meal, Outstation
"CSV Alma s402522, signed the documents and had a delegate take the UM's to their seats  Alma called me to inform me of the same as i was in the upper deck cabin, boarding customers and this information had not been relayed to me by ground staff  No Kis i", Outstation
Training book left behind seat 6A, Dubai
"Unaccompanied minors seated next to a man     Mr Alhammadi seat 38C was given a seat next to two unaccompanied minors, when it came to my attention I asked the customer to swap a seat and take another available seat that was also an aisle seat He refused and kept saying it was not his fault that he was given this seat   Even after explaining several times he kept saying he doesn't want to change his seat   After take off the customer was moved to seat 23B as it became available with two customers upgraded to business class", Dubai
Miss Salusa revived by myself grown ground staff Jazmin s322167   Welcomed on board and handed over to CSV Nenad s384585 and Gr2 Imed s447148   Miss Salusa had a chicken meal and a coca cola   Miss Salusa also had express breakfast pastry   Upon arri, Outstation
"Escorted to the ac by Miss Sarah AVP Seated next to another female UM Had beef and apple juice, water and then pastry with hot tea Was received by Miss Katsiaryna 448712 in Dubai", Outstation
"Many customers were reseated after boarding     With the flight heavily overbooked, customers had to be upgraded by the ground staff   Customers had already boarded the aircraft and then had to be reshuffled and reseated   Liaised with the ground staff, they were frantically running around in the cabin trying to sort out double seating issues as well   It took some time for the three staff to disembark the aircraft prior to closing the cabin door", Outstation
Miss Rigault revived by myself grown ground staff Jazmin s322167   Welcomed on board and handed over to CSV Nenad s384585 and Gr2 Imed s447148   Miss Rigault had chicken meal and a 7UP   Miss Rigault also had express breakfast pastry   Upon arrival i, Outstation
"Escorted to the ac by Miss Sarah AVP Seated next to another female UM Had beef and apple juice, water and then pastry with hot tea Was received by Miss Katsiaryna 448712 in Dubai", Outstation
Mstr Hodroje revived by myself ground staff Jazmin s322167   Welcomed on board and handed over to CSV Nenad s384585 and Gr2 Imed s447148   Mstr Hodroje had his CHML and an apple juice   Mstr Hodroje also had his CHML for breakfast     Upon arrival in, Outstation
Miss Guinard revived by myself grown ground staff Jazmin s322167   Welcomed on board and handed over to CSV Nenad s384585 and Gr2 Imed s447148   Miss Guinard had her chicken and an apple juice   Miss Guinard also had express breakfast pastry   Upon a, Outstation
Mstr Salusa revived by myself grown ground staff Jazmin s322167   Welcomed on board and handed over to CSV Nenad s384585 and Gr2 Imed s447148   Mstr Salusa had his chicken meal and several coca colas   Mstr Salusa also had express breakfast pastry, Outstation
Miss Belaoued revived by myself grown ground staff Jazmin s322167   Welcomed on board and handed over to CSV Nenad s384585 and Gr2 Imed s447148   Miss Belaoued had her CHML and an apple juice   Miss Belaoued also had express breakfast pastry     Upon, Outstation
Paid seat     Mr Turki paid for the seats 23HJK  Mr Turki is accompanied by his child and wife  23HJK row is an exit row, Outstation
Boarding delayed by 30 minutes approximately Crew transportation took 2hours approximately to reach airport Wake up called received 10 minutes earlier due to traffic also, Outstation
Mstr Sheikh traveling as Unaccompanied minor was looked after by crew member Dragana 349915   customer asked if he could change his Child meal requested on his profile and requested for chicken biriani from the menu which was offered to him with a gl, Outstation
"1 Mstr Calum was brought to the aircraft by ground personnel Noreen, s445841 2 His documents were checked and he was escorted to his seat 3 He was seated alone at 38A and crew ensured that no other customers were seated next to him during the flight 4 Crew member Magdalena, s445782 was assigned to look after him during the flight 5 During the main meal service he ate a meal and drank 7 Up 6 Upon arrival into Singapore, he was handed over to ground personnel Jasmine, staff number 12740", Dubai
"customer upset because it was promised empty seat next to her  We had a technical problem with 49K seat and we had to relocate customer to 82F, next to miss Savage  Miss Savage was extremely upset because she was promised by 'some head supervisor from", Outstation
UM's  UM's Beau Cutting and Teigan Cutting were received at STN and seated at 38AB with no other passenger next to them  They were looked after by myself and all GR2 crew members  They ate dinner and breakfast and had juices to drink, Outstation
Miss Alex had an enjoyable flight and was well looked after by the crew  She had a child meal to eat then slept for the majority of the flight Miss Alex managed the flight well traveling on her own and was confident and calm, Dubai
"Items left behind   Toy left behind by customer under seat 19 E Item  Toy, Paw Patrol", Outstation
UM service   Customer Lea was traveling as an Unaccompanied minor (UM) UM Ragan was seated next to his sister UM Lea with a female customer Ms Doaa Alqasi seated next to them, Dubai
UM service   Customer Lea was traveling as an Unaccompanied minor (UM) UM Lea was seated next to her brother UM Rayan with a female customer Ms Doaa Alqasi seated next to them, Dubai
"Items left behind   2 Phones  I Phone and Samsung I Phone left behind by customer on seat 23F Item  I Phone, White colour with green cover Item  Samsung, Black colour", Outstation
"A black shoulder bag found at 25B after disembarkation   It contained money, UAE Dhirhams and Indian Rupee, medication, supplements, ATM cards, ID, Drivers license, pens, power bank, adaptors and cables", Dubai
"after taking UM from, Celeste, PC355N in CPT station, I escorted Aleyna to her Seat introduced myself   Assigned Anna S450107 to monitored her During the flight   During dinner service she did not have her meal she drank only Coke   During non serv", Outstation
