description,subcategory
"High Level of Professionalism   During the pre flight Security Search in SEZ, CSV Mircea Gonciar, s363775 found a 6 bundles of 100USD notes hidden under the seat cushion of 29A According to CID (police), the amount was around 60000USD   I would like to praise Mircea's high level of professionalism and honesty",Compliments
"Eden Blue Hotel   Seychelles   3 of the crew rooms were located right above the restaurant (facing the pool area) The rooms were as follow: 119   Andrian Tonev, 121   Rasa Chmieliauskaite, 309   Ji Sung   The restaurant was hosting a live band (live music), and the noise was extremely high   The live music started at 18:00 and finish around 21:00   The hotel staff claimed that they have the live music in the restaurant every Friday   The noise compromised the crew rest, as the crew were unable to rest for the flight, and it is a Safety issue   The layover is only 15hrs and we have two night sectors, therefore a proper crew rest is imperative   Rooms facing the pool should not be allocated to the crew",Hotel Feedback
"OUTSTANDING PERFORMANCE      Starting briefing Eleonora showed up smiling and with positive attitude and she kept same attitude throughout the flight  During boarding she was available in the cabin assisting and welcoming customers back, trying to s",Compliments
"Crew Appreciation   During boarding, Ana found out that one of her customer at 44K Jonathan (child) is celebrating his birthday today   She immediately communicated to me and asked if we can arrange a cake for him from J class   Before the breakfast service, she arranged all the crew to sing for Jonathan as we deliver the cake   It gave a very good atmosphere in the aft cabin where most customers were watching as we sing to him",Compliments
"Crew member has a letter for wearing long sleeves blouse This letter has been issued 12 years ago, and is in very poor conditions, literally falling apart Kindly reassess if needed orand issue a new letter, with an actual date",Image 
"This report is raised to highlight exceptional efforts demonstrated started by Alejandro on this pairing   Throughout the pairing (as well as on the layover   Airport, bus and hotel), Alejandro extensively utilized his language skills to facilitate com",Compliments
"Excellent Performance    I wanted to highlight to you the performance of Tharwat staff number 407482 from the feedback, I got from Mr Deschard :   Recognized him as a high value customer even though he was a silver member   Modified his profile for his preferred drinks and meal   Wrote a purser Note to inform his colleague for his miles expiring   Informed him how to use his miles   Canvassed him at top of descent to check on his well being",Compliments
"CREW MEMBER VERY THOUGHTFUL THROUGHOUT TRIP     Esteban Zunino 445789 brought some homemade baked goods to the flight, to share with the rest of the crew   On the return sector, he knew that it was one of the other crew's birthday, and he bought chocolate muffins during his layover to treat all of the crew again   Esteban is always smiling and joking with crew, resulting in much laughter, while still being professional",Compliments
"First class customer experience       All customers boarded from L1 door and were escorted to their seats   purser introduced himself after take off with menus   Suggestions made such as wine carafe, P2 champagne and caviar   Customers ate a different times   Drink and meal feedback was very positive   Feedback in regards to the flight was very positive",Compliments
"MR ALARCO COMPLIMENTS   After diner service, Mr Alarco informed us that he misplaced his  mouth guard and he is not able to found it   Mr Alarco informed us that he remembers placing it on the tray   When crew found the mouth guard, Mr Alarco approached me as the CSV of the cabin and he thanked me for the great service and amazing team   Customer was very impressed by the effort the crew took to find his mouth guard and the way they were looking and helping him searching for it",Compliments
Cabin crew Tianru Wang (454479) was operating as GR1 crew on DXB HYD DXB sectors,Payroll adjustments
Crew shortage     Please be advised that there was a crew shortage of 1 on DXB BOM DXB Crew shortage was in the YClass cabin,VCM 
Grade 2 operated as Grade 1     There was 1 crew shortage in JClass Briefing desk informed that crew member Sinjan s445195 would be called out and would operate as GR1,Payroll adjustments
Validating customer in flight experience,Compliments
"Aneta was well organised as A first time galley operator she has A note for galley preparation and the service flew really smoothly and efficiently   During the flight, she kept the galley clean and tidy at All time she also passed on galley prep for colleagues before she went on the break   she not only well managed the galley, she also walked around the cabin doing we care thoroughly, interacting with customers   she assisted colleagues During the service and All service equipment was prepared to make the service ran really smoothly   All service equipment was returned to original stowage and galley handover was done properly",Compliments
Crew member Alina 432576 operated as fg1 for both sectors of the trip    During briefing I was informed by operations that a fg1 had called sick and would be replaced by a gr2 due to the fact that no other crew who were on standby were legal  I decided to place Alina who is a gr1 and was scheduled to operate as gr2 for the flight on first class  I checked on her confidence levels and she agreed to work in first class for both sectors of the trip,Payroll adjustments
POSITIVE FEEDBACK     Customer came to the galley to complement the crew on the excellent service delivered   Customer also complimented a specific crew that stood out and this crew member managed to get the customers preferred meal choice from business class as economy ran out of his preferred meal   The customer was really happy with the fast and efficient service this crew member delivered   Crew member mentioned was CSV pulled out as gr2 Primo 349215,Compliments
MEAL CARTS CAT3 SETUP INSUFFICIENT DRINKS     Customers wanted drinks that was not displayed as per the new service setup   Customers wanted miniatures and crew told customers to wait as they will come back after distributing the meals   Customers started complaining that it takes too long and they want their drinks now   Crew started forgetting who wants what after delivering the meals and some customers did not get their drinks,VCM 
CHECKS TOOK LONGER THAN NORMAL TO COMPLETE     Customers were already at the door when safety and security checks were done in the aft galley   L5A was missing and CSV at L5 had galley and cabin to search and time to do searches given was around 12 minutes,VCM 
"crew member Oleksii Plaksin(staff no 444518) was observed taking initiative and helping his colleagues  He was seen checking the toilets frequently,answering call bells and helping other crew in preparing the galley for the service and landing  He was very well aware About the service procedures",Compliments
