description,subcategory
Shortage of small stainless goodies baskets and shortage of goodies items available Quantity available 04 baskets Customers load 08 customers,Loading
One extra cart of trays was loaded out of SEZ  Load was 200 pax and we had 245 trays,Food
At the end of the flight there was only half a bottle of champagne left in first class We were unable to top up customers drinks as frequently,Loading
"As the service sequences changed in Y class, the first service now is sandwich service with only one choice option, the beef sandwiches   The customers ( around 20)were asking for another choice because of the religious belief, they don't eat beef but",Food
Approximately 70 passengers from the aft of the economy didn't receive the menu during the pre departures   The message was passed around and all the stowages from Y forward galley and Y upper deck were checked for any left over menu   Purser was info,Loading
During the safety video the customer returned the blanket from her Seat after she found it dirty and with plasters on it,Loading
"on the previous sector DXB  TPE , the catering operator informed us that we will Load cup noodles only for One sector and from TPE we will be catering with cup noodles   While doing the catering checks in TPE , asked the catering operator for cup noodl",Food
BAR PAPER WORK NOT LOADED DURING THE FLIGHT  There was no bar paperwork loaded in all bars during the flight,Loading
Breakfast bread shortage  12 croissants and 1 box of muffins loaded for continental breakfast  initial bread to put on the tray were not loaded     16 customers were having continental breakfast,Food
"Antipasti      According to the catering figures, 3 antipasti appetizers were loaded   Three customers ordered the same appetizer   Only 2 antipasti appetizers were loaded",Food
Run out of milk mid flight    Only 2 litres of milk loaded for 42 pax,Loading
Mr Hall said the presentation of the egg frittata was not presentable   He also stated that the meal was not pleasant to the pellet,Food
Blanket Bags not Available   Crew searched all stowage in all cabins but very few found,Loading
Full juice upload as per latest update was not done at all by catering out of BCN We ran out of orange and apple juice during dinner service,Loading
"Open wine container    There is only one open wine container loaded in the forward galley of Y class  Almost full flight today, I sent out 6 carts for the lunch service, and came back with 12 open bottles of wine which were more than half full  Customers did not request for wine for the remainder of the flight, open container only holds 6 bottles  Aft galley had around 45 bottles opened",Loading
request CHML AV if possible for the next sector,Food
offload of dry ice    2 large and 2 small containers were offloaded as we do not have space for it 2 small boxes of dry ice were kept on board,Loading
"Shortage of milk jiggers    During security search, I was informed by Yesol Park 450269 that we had less than 10 milk jiggers in the container  The aft galley had less than 20 milk jiggers  Catering advised that this was only loaded in Dubai",Loading
Kindly provide AVML meal,Food
Kindly provide AVML meal,Food
Kindly provide AVML meal,Food
Meal choice unavailable for Dinner service  5 chicken meal choices unavailable for customers during Dinner service,Food
HNML'S PROVIDED DID NOT CONTAIN ANY MEAT     Mutliple customers were upset as their HNML's were vegetarian   The HNML's provided were cottage cheese paneer   The customers said that the specifically ordered Hindu Meal Non Vegetarian options,Food
NOT ENOUGH MENUS PROVIDED     We did not have enough menus to distribute to the entire cabin   There were roughly 15 customers who did not receive menus,Loading
CUSTOMER UNHAPPY ABOUT HNML CONTENTS     Mr Menon was given his HNML as per the PIL and the information on the KIS   He immediately complained to the crew that the meal is vegetarian and that he specifically ordered a Hindu Non Veg meal   Crew member Francisco Bos 433417 informed me about Mr Menon and his wife who were complaining,Food
"INCORRECT HEADING   After take off, it was observed that the linens loaded for the diner service were not properly folded as per the new service standard, all linens were open",Loading
Salad leaves looked soggy       It was observed that the salad loaded by catering ground staff looked soggy not fresh   All leaves looked old,Food
"chopsticks shortage     for second breakfast service, there were not enough chopsticks for the customers whoever ordered oriental meals  Less than half of One pack of chopsticks from previous flight left in route specific container most of the flight, two pack of chopsticks loaded and One pack for return sector however it is not enough for both sectors",Loading
CHML  Asian vegetarian request     Please change CHML to CHML Asian vegetarian as per customer's request;,Food
CHML vegetarian request    Please change current meal to CHML AVML as per customer's request;,Food
Please addorder AVML for customers future flights,Food
Please addorder AVML for customers future flights,Food
Mstr Hutt's parents would like his CHML cancelled for all future flights effective immediately,Food
Customer request for CHML for all future flights,Food
Mr Giri claimed He always gets An AVML on his flights  He claimed He ordered for This flight,Food
MRU MENU NOT LOADED     Menu card from MRU to DXB was not loaded in the menu bag,Loading
Mr Pitts would like his DBML cancelled for All future flights effective immediately,Food
Ms Asher claimed the potatoes of her breakfast meal of omelette were undercooked  Ms Asher asked to have A cheeseboard from the dinner service  Ms Asher was content with the alternative provided and thanked the crew,Food
For breakfast the vanilla crème wasn't loaded Instead there was an herbs sour cream,Food
HNML Two customer ordered a HNML but they got a vegetarian HNML instead Both customer didn't want a vegetarian Hotmail Are HNML's now vegetarian?,Food
AVML Can you please provide an AVML for this customer for their next flight DXB LGW 011 24 06 18,Food
AVML request  MrKumar would like to order the AVML for his next sectors,Food
VGML request  Customer would like to order the VGML for his onwards sectors,Food
Savoury biscuits not loaded for This flight  no customer complained During we care,Loading
VGML request  Customer would like to order VGML for her onwards sectors,Food
SPML request  Miss White would like to order the GFMLVGML for her return sectors  EK373 BKK DXB 17 AUG 2018  EK011 DXB LGW 18 AUG 2018,Food
VGML request  Customer would like to order the VGML on his onwards sectors,Food
Request to cancel AVML     Mr  Luu informed crew member that he didn't order for AVML and will like to cancel the request  Please ensure the AVML request is cancel for the customer future flights,Food
customer had problems placing special meal request online   customer ensure that An AVML is requested for All future flights,Food
"Meal comment   Mrs Sequerah informed me that she did not like Grilled Veal Loin because it was really tough, unedible and shocking Also, she mentioned that the menu selection was not inspiring She stated that she flew with many different airline like Singapore airline, Thai airways and Air France They were doing the service with trolley which you can choose the meal from It was like fine dining but with Emirates it is not She; moreover, stated that even her agency mentioned that Emirates is the worst airline when it comes to food contact detail : jeanniemok@jeanniemokcom",Food
Chicken makhani was not sufficient to be served to all passengers in YC   Chicken makhani was unavailable meal choice to be offered to the passenger   The passenger requested to have selection of snack instead of the main course along with his dinner meal tray   The passenger declined the other meal choice which is Braised beef and onion,Food
"Beef main course unavailable due to high demand     Mr Nicholson's first choice of main course was the braised beef  We had 3 revenue customers in F class, all of which wanted beef but we were loaded only one of each meal option  Customer at 2A got his beef option from J class as he ordered his food at the same time of the J class service, but Mr Nicolson ate slightly later, when there was none left",Food
Chicken makhani was not sufficient to   Chicken makhani was unavailable meal choice to be offered to the passenger   The passenger requested to have selection of snack instead of the main course along with his dinner meal tray   The passenger declined the other meal choice which is Braised beef and onion,Food
"The passenger declined his request for FPML which was provided on board   The passenger informed me that he has cancelled FPML request, However, He has been offered FPML in his last three previous flights",Food
Chicken makhani was not sufficient to be served to all passengers at the AFT cabin of YC   Chicken makhani was unavailable meal choice to be offered to the passenger   The passenger requested to have selection of snack instead of the main course along with his dinner meal tray   The passenger declined the other meal choice which is Braised beef and onion,Food
Chicken makhani was not sufficient to be offered to all passengers in Y?C   Chicken makhani was unavailable meal choice to be offered to the passenger   The passenger requested to have selection of snack instead of the main course along with his dinner meal tray   The passenger declined the other meal choice which is Braised beef and onion,Food
Chicken makhani was not sufficient to be served at the majority of YC passengers   Chicken makhani was unavailable meal choice to be offered to the passenger   The passenger requested to have selection of snack instead of the main course along with his dinner meal tray   The passenger declined the other meal choice which is Braised beef and onion,Food
"Crew meals were tasty and fresh    Hot meals for crew were available in correct quantity, they were described by crew as tasty and well presented   Salads were freshly made and good quality   Crew sandwiches and chocolates were loaded, healthy and vegetarian options were available",Food
Chicken makhani was not sufficient to be served to all passengers at AFT of YC   Chicken makhani was unavailable meal choice to be offered to the passenger   The passenger requested to have selection of snack instead of the main course along with his dinner meal tray   The passenger declined the other meal choice which is Braised beef and onion,Food
NO Beef SPML request   Chicken makhani was not sufficient as it was the most popular meal choice during dinner meal service   Chicken makhani was unavailable meal choice to be offered to the passenger   The passenger requested to have selection of snack instead of the main course along with his dinner meal tray   The passenger declined the other meal choice which is Braised beef and onion,Food
"MENUS NOT LOADED   Menus were not loaded, menu bag marked DXB TRV contained menus for return sector only",Loading
Chicken makhani was not sufficient to be offered to meet all passenger's requests   Chicken makhani was unavailable meal choice to be offered to the passenger   The passenger requested to have selection of snack instead of the main course along with his dinner meal tray   The passenger declined the other meal choice which is Braised beef and onion,Food
"Menu description incorrect of fish option       The menu stated Pan  fried cod with pomegranate dressing and quinoa with herbs and feta, however the catering was Grilled Salmon with quinoa and pomegranate dressing   Customer stated he wasn't happy with the available meal option",Food
"Customer dissatisfied with meal option       Ms Davidson requested for the chicken and avocado sandwich, she stated that the sandwich was horrible and that it was the worst meal she's even eaten   Crew member Sjoerd took care of her on in flight",Food
"Meal Loading       Incorrect meal options loaded: Menu indicated a) Pan  fried cod with pomegranate dressing and quinoa with herbs and feta b) Chicken and avocado sandwich with rustic bread layered with pan  fried egg, emmental, avocado and mustard served with chips   Available option, Grilled Salmon instead of Pan  Fried Cod as indicated on the menu   The Sandwich accompaniment was coleslaw instead of avocado",Food
Please change to AVML,Food
"MEAL LOADED DIFFERENT FROM THAT ON THE MENU   The catering supervisor had informed the First Class galley operator, that pan fried cod was unavailable, instead it had been replaced with Salmon",Food
cabin tidy bags not loaded,Loading
VLML Request   Customer mentioned he requested for VLML about four times before but never provided,Food
"Non of the specials meals loaded for LIGHT BITES service      GFMLLFMLNLMLVGML customers were not happy that they only got to have a banana for light bites service   Catering was requested for this meals before take off, but they stated that for this flight there is not special meals",Food
Customer will like to request GFML for her profile      She claims she ordered GFML but it didn't show in the system Please add GFML under her profile,Food
"foil covers from meals very loose      90% of meals foil covers were not put properly and loose, therefore it took time to fix them (some of them ripped apart when taking them out of the oven trays) and delayed the service flow",Food
"Did not find appropriate drop down menu No Toothbrushes loaded for FC, not in the lavatories nor in the Amenities container anywhere on board",Loading
Special meal request    Customer is a child and would like to request for child meal (CHML),Food
"Catering in first class was found stored in Chillers which were switched off Catering staff should ensure chillers are ON, to stop the cold chain of food handling to be broken This happens several times therefore will start documenting it",Food
AVML request  Customer wanted to have a vegetarian meal,Food
AVML request  Customer wanted to have vegetarian meal,Food
AVML request  Ms Punja requested to have vegetarian meal on this flight,Food
Dirty tea spoon   During the breakfast service Mr Lopez has found a dirty tea spoon in his cutlery pack,Food
"Bread inconsistency   On our flight the AVML trays had a different bread from the regular main meal tray   AVML meals are supposed to be offered together with the main meal courses, not separate from the SPML   The AVML however, had a different bread than the regular choice ( it was also smaller than the regular bread)   A number of two customers have requested for a bread change",Food
"VJML not provided  Meal tray and hot meal for VJML were not provided for customer at 18B  For express breakfast service, fruits and muffins were just placed in a drawer with no stickers attached onto them, the stickers were also left in the drawer on their own",Food
REQUEST FOR GFML  The customer would like to have a GFML for her future flights,Food
Some Table spoons loaded in bulk cutlery pack found dirty and unwashed,Loading
AVML request  Mr Lalji requested to have a vegetarian meal on this flight,Food
FOLDED LINEN     Crew feedback on the new folded linen has been negative with almost all of them saying that it makes it very difficult for them to unfold it and dress the table alone,Loading
Change CHML to vegetarian  Ms Anand's father requested for a vegetarian meal for his daughter,Food
PLEASE ORDER CHML FOR ALL ONGOING SECTORS      Please order child meal for all on going sectors,Food
VGML request Ms Duffield asked for a vegetarian meal on this flight,Food
Eid boxes not loaded in FC,Food
Large Bowls for Pasta not loaded Crew observed the large bowls for pasta meal choice was not loaded,Loading
"There was a shortage of the chicken option in EY  Chicken was uplifted at thirty percent whilst beef was uplifted at seventy percent  Around seventy customers asked for chicken,but were served beef instead Suggestion: To load Chicken 60% Beef 40%",Food
