description,subcategory
"Incoming flight diverted from CKY TO DSS we were informed by the station manager around 25 minutes prior to our pickup to SB in the rooms After two hours we left the hotel Capt informed all crew in the bus that we will operate flight DSS TO CKY and to DXB Since in the aircraft there was no CRC as per the rest strategy and guidelines we were suppose to have rest only one hour, since duty was extended I extended 40 minutes extra and gave rest 1 hr 40 minutes to all team members there was two services on this sector CKY DXB We were suppose to operate flight as per our roster DSS DXB",Extended
1:30 min of CRC crew rest was Authorised by Captain due to Jet lag      Majority of cabin crew complained about being tired due to jet lag  Crew had only 24 hours of station rest after deadheading on a direct flight from DXB to AKL  Crew Deadheading from DXB to operate the Inaugural flight from AKL to DPS  Crew reported being awake since 2am AKL time and the wakeup call was 9:30am AKL time  Signs of tiredness was observed on crew due to the lack of sleep and inability to acclimatize with the time zone  AKL time zone is 12 hours GMT  8 hours ahead of Dubai,CRC
Please note that an additional 30 minutes break was given equally to all crew  This was done as Nil customers were travelling in first class   Original break time was of 330minutes and was extended to 4 hours   Block time 1455 hours   Breaks was di,Extended
"Block time for sector 835h   According to 'Policies and Procedures' manual   section 'Crew Rest'   page 2   version 42, soft block restmeal break 30 45 minutes for sector   Pax load 410 YC main deck  91 YC upper deck   Two services in flight   C",Soft Blocked Seats
"Head rest cover colour change I would like to suggest to change the colour of head rest covers in order to differentiate the crew seats to the rest of passenger seats and so, avoid customer using them Hope this helps for future flights",Soft Blocked Seats
No soft blocked seats where not available in the cabin when I checked the aircraft loads  Since we where experiencing and adhoc situation with a total duty time of 13 hours and 5 minutes In coordination with the captain and ground dispatcher we moved c,Soft Blocked Seats
No soft blocked seats where not available in the cabin when I checked the aircraft loads  Since we where experiencing and adhoc situation with a total duty time of 13 hours and 5 minutes In coordination with the captain and ground dispatcher we moved c,Soft Blocked Seats
Crew rest was extend for 1 hour All service times and service sequence were respected,Extended
"Crew Rest Disturbed   Approximately 10 children and infants were seated in the aft YC cabin   The children were very noisy during the flight and almost all crew complained of being disturbed in the main deck CCRC   No alternative seating could be found as the flight was completely full   Ground staff in Perth advised cabin crew that they had contacted EK services in Dubai and had been told that as it's not a ULR flight, the seating of children in the aft YV cabin doesn't matter",Disturbed
As we had a light load therefore I extended the crew breaks by 30 minutes   Service and customers did not get affected and managed the service throughout the flight very well,Extended
"CREW SUGGESTION REGARDING REST STRATEGY  before this sector I only have 1 day off , only slept for 3 hours before the flight, hence I feel fatigue on this sector  I suggest we as cabin crew take CRC break as per the flight deck procedure on this sector it will help us to stay alert for this sector and the next sector and as well the rest of the sectors",Rest Strategies
"SOFT BLOCK SEATS OCCUPIED BY PASSENGERS  Soft blocked seats 49JK and 50JK were occupied by passengers  When passengers were asked to return to their original seats they refused to do so  They stated that upon check in they requested couple seats (JK aislewindow) and they were willing to pay the extra fare for those specific seats, however check in officers told them not to bother to pay as 49JK and 50JK were empty and they could seat there for free",Soft Blocked Seats
"Crew rest extended due to light load   Rest time on this sector was 02:20  The load was 0160101  First service took 1 hour and 10 minutes, last service took one hour  Crew rest extended by 40 minutes",Extended
During my CRC break I got disturbed by toilet flushing and babies crying on MD CRC on     A380  Once disturbed initially it was difficult to sleep afterwards  noise can still be heard through headphones  I did not get the proper rest During This ULR,CRC
"I experienced the following problems with the CRC on the MD A380:  On the RHS bunks the head is facing the lavatories and every single toilet flush can be heard, even when music is listened to through the headsets or when earplugs are used  Outside nois",CRC
"CHALLENGING FLIGHT WITH TWO SERVICES NO REST              Today we faced a very challenging flight due to the work load  In todays flight we had 155 Special meals to be delivered Since we had a new service, that makes a total of 310 special meals",Rest Strategies
"Block time: 16:00   Rest provided: 3:20hrs Reason: service trial in JC and service rout9ine in YC   Crew complained about it, however worked effectively   Many crew reported tiredness at TOD, however no one required to be allocated A position",Reduced
Crew rest was extend for 1 hour All service times and service sequence were respected Light load 7 12  122,Extended
Crew rest was extended by 30 minutes,Extended
Crew rest was extended by 30 minutes,Extended
REST INFLIGHT REQUIRED   this flight of 9 hours is very tiring for the crew and it would be beneficial to have rest in flight   there is about 5 hours available between services,Curtains/Hardblocked
REST INFLIGHT REQUIRED   this flight of 9 hours is very tiring for the crew and it would be beneficial to have rest in flight   there is about 5 hours available between services,Curtains/Hardblocked
Crew rest was reduced by 5 minutes due to service in YC taking longer than on CRS Total rest on board for each crew was 2hrs55mins Recommended crew rest for 14   15 hour flight is 3hrs   3 12hrs Several crew appeared tired throughout the flight,Reduced
no seats were blocked for crew rest  No soft blocked seats nor hard blocked seats were blocked in this sector for crew rest  flight time was 08 hours and 45minutes,Soft Blocked Seats
no seats were blocked for crew rest  No soft blocked seats nor hard blocked seats were blocked in this sector for crew rest  flight time was 08 hours and 45minutes,Soft Blocked Seats
after my CRC break I had bug bites on my face and feet,CRC
"Interrupted Flight Plan   Standard wake up time was 19:30 however due to a technical issue with the aircraft the wake up time was cancelled   Unfortunately there was no revised wake up time however crew were instructed to standby in their rooms until the aircraft was fixed   Crew were called at 23:45   Unfortunately, due to the unknown wake up time the crew were unable to plan accordingly   The STA was 08:20 ATA was 13:00 (almost 5 hour delay)   The Captain and I discussed options to provide crew rest on board",Extended
