description,subcategory,,a
"Konstantinos was very positive from the beginning of the flightHe was very organised in the galley and always willing to assist his colleaguesHe took the initiative to do the catering checks and organise the pre departuresDuring boarding he was assisting mothers with infants and elderly people to their seats We had many elderly people on the flight and most of them did not speak English Konstantinos made sure they had their meal of choice and drink and also in between the services he ensured they had water and spend time helping them fill up customs forms as well as talk to them and make them feel comfortable He also reset screens that were not working and checked on customers to make sure that their screen was back on and always passed the information to meI could see people enjoyed being served their meals and drinks by Konstantinos as he was serving with a smile and always a positive commentVery positive and hard working, excellent teamwork skills and professional behaviour",Seals,,991
Baby sleeping on the floor non compliance to crew's instruction    Mr Couillerot was rude during cabin securing to crew member Seewoo when she asked him to put his stuffs in the hatrack to keep the bulkhead clear He didn't put his bags away until I came and ask him to  After take off he placed his baby on the floor with blankets and pillow The same crew member told me about it and I told him that the baby cannot sleep on the floor Mr Couillerot asked me to show where it was written and said that even if the baby was on his lap if we hit an air pocket the baby would be injured and that the rules by emirates do not make any sense Customer got very upset and said that we (purser and I) were not helping the situation and that we were not professional Baby was kept on the floor despite the warnings given to customer  He said  that the ground staff in paris assured him that he will get a bassinet  Passenger was shouting at the purser and I and wanted to have my staff number,Equipment,,982
"New Duty Free seals feedback   New seal system was in trail on the flight However the system doesn't show an impressive improvement of the safety and utility for the Duty Free operator In particular, the following critical points are highlighted:   new plastic seals are not as elastic as the old plastic seal, this results in a danger when the seals has to be broken as the seal cracks in several parts and these parts tend to jump creating a potential hazard for the safety of the surrounding people;   no extra seals were provided in the Duty Free carts, resulting in the impossibility to reseal the cart in case of last minute sale;   the door of the cart does not close properly due to the obstruction of the metal ring fixed to the handle loop;   during the flight the cart and the containers remain exposed to potential risk as no padlock or other security device is provided to prevent the access to the Duty Free products to not authorized people",Seals,,955
"Verbal abuse  Customer boarded as I was by the door at ML1, he was speaking loudly in his language and seemed upset about something  I approached customer and asked him if everything was alright, he kept walking and started shouting Why am I in Business class when my seat is in Economy Purser Don approached the customer to try and calm him down but customer continued to talk very loud  Purser explained calmly to customer that he was indeed in Economy where his seat was  A couple of minutes later Purser and myself approached the customer once he was seated to find out more about the reason of his outburst Customer stated that on a previous flight he was sent to the wrong cabin and he thought that it happened again today Customer was kindly but firmly reminded that if he has any issues regarding any flight that he should approach the crew for information or help and that there was no need to raise his voice in front of other customers",Duty Free Items,,946
"MALFUNCTIONING HANDHELD COMPUTER      HHC no S41280  CE0560  1759B014  CF Card Label: UAE1585, DF cart 490   Economy class customer Mr Khezer Khalaschi (seat 42D) purchased duty free item creed viking (no 2187 4)   Customer paid with credit card   Sale was processed but HHC printed out only the merchant copy of the credit card purchase receipt   HHC displayed an error when attempting to print cardholder copy   Customer stated he did not want the receipts   Sale was witnessed by CSV Jemima Kauai (406077)   VISA credit card, card valid, signature on the merchant copy matched the one on the credit card (double checked by the CSV)   Sale did not appear on the sales summary print out form the HHC when closing   Manual paperwork was done for closing duty free and submission for the cashier   Stock of Creed Viking (2187 4) was adjusted manually on the HHC when opening for the return sector (witnessed by CSV Ragini Arumugam   394287)",Equipment,,939
"MALFUNCTIONING HANDHELD COMPUTER      HHC no S41280  CE0560  1759B014  CF Card Label: UAE1585, DF cart 490   Economy class customer Mr Khezer Khalaschi (seat 42D) purchased duty free item creed viking (no 2187 4)   Customer paid with credit card   Sale was processed but HHC printed out only the merchant copy of the credit card purchase receipt   HHC displayed an error when attempting to print cardholder copy   Customer stated he did not want the receipts   Sale was witnessed by CSV Jemima Kauai (406077)   VISA credit card, card valid, signature on the merchant copy matched the one on the credit card (double checked by the CSV)   Sale did not appear on the sales summary print out form the HHC when closing   Manual paperwork was done for closing duty free and submission for the cashier   Stock of Creed Viking (2187 4) was adjusted manually on the HHC when opening for the return sector (witnessed by CSV Ragini Arumugam   394287)",Equipment,,939
"I opened duty free cart DF580 after the breakfast service in business class and logged in using my name and staff number Two sales were completed immediately after doing so at the request of two customers who wished to sleep After completing the sales, it was noticed that the handheld computer detailed cart DF589 as opposed to DF580, therefore it was established that the handheld computers appeared to have been placed inside the opposing carts This error resulted in a number of transfers being unable to be completed by both me and my colleague, 413098 The following items were transferred out by me to my colleague, 413098: Drw: 08 Code:1950 Item: Carolina Herrera Good Girl perfume Drw: 11 Code: 2136 Item: William L 1985 watch Drs 04 Code: 2085 Item: Gucci Bloom perfume The following items were transferred to me by my colleague, 413098: Drw: 11 Code: 1964 Item: Khiels Ultra Face Cream Drw: 12 Code: 894 Item: Encarta Afortunado",Equipment,,938
"unable to print out customers sales receiptsale did not appear on the sales summary print out from HH computer no S41280 CE0560  On flight EK0977 economy class customer Mr Khezer Khalaschi (seat 42D) purchased duty free item creed viking (no 2187 4), duty free cart no 490, hh computer no s41280 CE0560  the customer paid with the credit card  sales was processed and credit card purchase receipt was printed out, customers signature matched the one on the credit card  customer receipt was not printed out due to an unknown error of hh computer  the customer did not want the receipt  the sales was witnessed by the CSV Jemima Kauai (staff: 406077)  the sales did not appear on the sales summary print out from the hh computer   the stock of creed viking (no 2187 4) was adjusted manually on the hh computer (witnessed by CSV Raging s394287)  manual paperwork was don for closing duty free and submission for the cashier in dubai",Equipment,,930
"On the flight someone stole 400 aed from my duty free pouch which I had in my cabin bag I was assigned the galley position (was working in J class that day) and I had my cabin bag in 7AB hatrack Initially I had it looked, but then just before the take off, I took out my oven gloves which I forgot to do it at first place I forgot to locky cabin bag again and it was unlocked through the whole flight Unfortunately I realized that I was missing this money today on my other flight EK 450, while I was about to go to the cabin with my duty free cart I had my cabin bag locked on todays flight, even before realizing that the money was missing Also, just before my KWI flight I changed my duty free pouch, because in my previous flight I was assigned with the duty free position and I had sales When I was given the new pouch I counted the money and nothing was missing The incident unfortunately took place in the KWI flight",,,923
FYI :  Hand held computer all batteries drained out  Duty free done manually  Some items cannot be found(most probably sold last sectors) Items mentioned below are not found   1) 2036 1 (Buckley London mixed earring) 2) 2052 2 (You joue lip gloss) 3) 2080 5 (Ellie Saab girl of now) 4) 2092 6 (Lancome our bouquet) 5) 2040 7 (Akita electronics digital luggage scale) 6) 2026 7 (Cartier La panther) 7) 2057 7 (Fervour Montréal divine eye watch) 8) 2021 8 (EK twin set watch) 9) 1931 8 (Hermes Elixir des Merveilles calligraphic) 10) 1934 8 (Misfit shine 2) 11) 2084 8 (Tom ford tuscan leather) 12) 1779 9 (Gents watch set) 13) 2135 10 (Michael kors white pearl set) 14) 802 10 (six pendant earring set) 15) 1949 10 (Skross pro light world USB) 16) 1896 10 (Victorias secret scent with love crayons) 17) 2113 11 (EK dual USB charger) 18) 1971 11 (Stack of sparkle 3pc bangle set) 19) 1964 11 (Ultra facial cream by kiehls),Duty Free Items,,921
