description,subcategory
Cancellation of SPML  customer would like to have his CHML meal cancel for all his onward journey,Transactions
Cancellation of SPML  Customer would like the CHML meal to be cancel for all his onward journey with us,Transactions
"IO Customer FYI       Mr Karkaria was personally escorted to his suit by the Purser   Pradeep R    His suit had been set up with his preferred drink, Magazine and Pyjamas size    Customer enjoyed champagne with Caviar at the beginning of the flight    His Bed was set up and he fell asleep until TOD , when he was woken up with a Moroccan mint Tea ,with Honey , lemon and mint leaves    Disembarked well refreshed and rested   FYI",IO customers
Mr Makhoul looked after well by me and team CSV boarded him and escorted him to the seat,IO customers
Customer upgrade from LCA   DXB   Customer used is miles to do an upgrade from LCA   DXB   Deducted 22500 as per information on the PIL from LCA,Transactions
Kindly revert 5000 miles to Mr Keith's as by mistake the purser Dragan and myself submit the upgrade request,Transactions
"Upgrade himself using his miles        my Smit upgraded using his miles in This sector I upgraded him on the system, but his name went back to economy class in KiS tablet     Upgrade history was shown his Upgrade, but his names was still remained in the economy class, and miles was not deducted yet in KiS tablet",Transactions
506135195 BLUE skywards member  Customer claimed he enrolled in skywards a year ago however nothing if displayed on his profile  Customer would like this miles,Transactions
UPGRADE MANUAL PROCESSED       Customer upgraded from J to F   Miles quoted to customer 39000,Transactions
"Mrs Yvonne informed me of having seating problems every time she travels on her return leg  journey Customer says she and her husband are always end up being seated away from each other even though they pre book their seats Customer also added that if she contacts Qantas Frequent Flyer customer service they say its an Emirates problem, and in turn if she contacts Emirates they say its Qantas",Product Feedback
passenger claimed that He purchased An Upgrade from economy to business on line   He only had the confirmation by email before checking in   ground staff did not want to grant him his Upgrade based on A An email   ground staff claimed they did not receive any information regarding his Upgrade passenger was dissapointed,Product Feedback
"Customer arrived onboard and stated that she is not feeling well She has colds   Customer had her drink and slept almost all through out the fligt   3 hours before landing, customer informed the crew that her IFE screen is black and mode controller was",IO customers
Sky wards Miles Expiring:  Customer was informed of her Expiring Skywards Miles  Note Actioned,Product Feedback
SECTOR NOT ADDED       Customer forgot to present his member card number for the check in counter,Transactions
SECTOR NOT ADDED       Customer forgot to present his member card number for the check in counter,Transactions
customer ( Mr Allen seated at 9K BC) requested to be upgraded to fc using his miles,Product Feedback
"Hot Desert Unavailable Mr Sage requested to have the hot desert Sticky date pudding after 6 hours into the flight, but the choice was not available It was loaded only 2 of it and the couple Mr and Mrs Rowley (suites 1E&F) already requested them before him and ate it Please make sure this choices to be available for Mr Sage for his future flights",IO customers
Mrs Haddock was travelling with her husband and they were not able to book the sweetheart suits prior to the flight  Kindly note down the sweetheart suits under their preference for future flights,Product Feedback
customer is A gentleman,Transactions
Miles Expiring     Mr Padalia was informed of 1700 skywards miles expiring on his account by 30th of June 2018,Product Feedback
"kis report not related to product   Info about Mr Balabanov :  Customer claimed that he suffering from Parkinson   Customer can take care of him self ,however he may need assistance when opening hat rack and fasten seat belt, and he will show slow movement when walking   Please ask customer if he need assistance",Product Feedback
Onboard Upgrade blocked   Customer was accompanied by his wife and son  He and his wife seated in business class while his son seated in economy cabin (seat number 68C)  AWUG code reflected on his and his wife profiles  Customer said that he checked with the lounge receptionist and was told that his wife has enough miles to upgrade his son and advised him to request for onboard upgrade once he arrived at the aircraft  On KIS tablet his miles reflected on his wife's skywards profile and onboard upgrade was blocked due to insufficient miles  Customers' details ; yusufkazah@yahoocom  His wife's miles also did not refelct on PIL  Customer asked for complimentary upgrade,Transactions
customer was informed About his EK skywards miles expiry,Product Feedback
Customer wished to be upgraded using miles Miles used 39000 EY to Jc 47G to 20 F Dxb  Lgw,Product Feedback
Mr Al Shawwa was upset that there was not slippers or pyjamas on the flight  size required is XL,IO customers
Mr Al Shawwa was upset that there was not slippers or pyjamas on the flight  size required is XL,IO customers
"kindly deduct 19500 miles from customer Mr Nirqav Virani seated in 87C, Platinum member EK 108510080   his profile was not loaded on the KIS tablet as the final closed flight was not received   customer miles balance at the time of the transaction w",Transactions
CUSTOMER UPGRADED BY MILES HOWEVER   Mr Peter Vogel (45G) requested for an upgrade from YC to JC using his miles   Whilst processing the upgrade the system rejected as it mentioned no seat assigned to customer,Transactions
CUSTOMER SKYWARDS DETAILS   Mr Peter Vogel's skywards details are:   Skywards  00230204812   Skywards account Balance: 125 833 miles   Upgrade fee charged: 57 500 miles,Transactions
During the Lunch service Passenger asked crew that he would like to have his starter in the lounge  Passenger insist his colleague to have her Starter in the lounge   Passenger informed crew to leave their meal trays on their seats tray  Passenger app,Transactions
Request for Skyward miles credit     Customer advised the crew that this flight was not booked with her skyward profile and would like to have the miles credited  Customer is flying back on EK214 on the 21st of August and EK853 on the 23rd of August Customer details Skyward number: 533547991 Mobile n•96565971039  abbe33161@yahoocom  Trip reference number: 8KTKXQ,Product Feedback
"Customer enrolled on board to the Skywards programme, however when customer's details were introduced on the skywards enrolment page of the KIS tablet customer's e mail address was not accepted by the system",Transactions
"Customer experience      FC Crew members were briefed about Mr Alrefai's preferences in the briefing and as soon as we arrived to the aircraft, we checked all seat functions and cleanliness   I welcomed Mr Alrefai at the door and escorted him to his suite   I introduced myself and rest of the FC team   As per KIS info, Mr Alrefai prefer to have FC blanket and 2 extra pillows They were already placed in his suite before he arrived   Customer was extremely happy with the greetings   After take off, he slept until top of decent in to DXB   We offered drinks and Breakfast to MR Alrefai which he declined   After landing into DXB, Mr Alrefai was handed over to IO ambassador",IO customers
"Customer experience      FC Crew members were briefed about Mr Sage's preferences(M size pyjama and L size sleepers) in the briefing and as soon as we arrived to the aircraft, we checked all seat functions and cleanliness   I welcomed Mr Sage at the door and escorted him to his suite   I introduced myself and rest of the FC team   As per KIS info, Mr Sage prefer to have M size pyjamas and L size sleepers They were already placed in his suite before he arrived   Customer was extremely happy with the greetings and pre arranged items in his suite   Mr Sage informed me on ground itself that he want to sleep for the whole flight and like to inform other FC crew that he is DND   After take off, he slept until top of decent in to DXB   We offered drinks and Breakfast to Mr Sage which he declined   After landing into DXB, Mr Sage was handed over to IO ambassador",IO customers
iO customer     customer came as One of the first customers and was escorted by JED ground staff,IO customers
