description,subcategory
The flight could not be open at DUB station,KIS Application
"When taking orders, Japanese meal choice is under main course page in 7 different descriptions Therefore the page is unnecessary long and unclear for me if I should click just 1 or all 7 things",KIS Application
"Due to the turbulence during the flight, crew put my KIS tablet at galley top as this aircraft does not has the KIS holder in the galley  KIS tablet TB3081614015 was dropped down to the floor and the KIS support handle was broken (could not stand in th",KIS Application
The tablet has not been connecting using mobile connection for several sectors now Would only connect through WiFi connection,KIS Application
KiS no connection SIM showed no connection,KIS Application
"HVC Checklist Doesn't Save   Whenever I change the status for the HVC checklist from not met to customer has been met and exit the page, it doesn't save any changes",KIS Application
"Opened the flight in the hotel using wi fi   To update, KIS showed it's connected to mobile data, however, it did not update at all   KIS did not get all the pax information",KIS Application
Printer inoperative          When trying to print the special meal stickers the Printer went inoperative,Printer
Could not get the flight final while on ground or during the flight,KIS Application
No connection  unable to get any connection on ground the SAW  no flight final came,KIS Application
KIS tablet was not synchronised to final load out of BLQ,KIS Application
This is a 'new' second hand KIS tablet The problem it has is that I close the flight after I've landed and then it reopens itself Second issue: No CSV VR's are coming through to the tablet once they have written them,KIS Application
"KIS application       When ever selecting a customer, to see their profile or to raise a KIS report under their name, it takes a long time to load",KIS Application
"NO DEDICATED TABS AVAILABLE FOR GENERAL INFORMATION                                                                        1 15 Min early departure ex CMN 2 LIGHT LOAD, David who was working as Grade 1 helped in FC cabin where all customers wanted to eat at the same time while JC had only 14 customers Thank you David, 3 Long wait at the Moroccan Immigration to get clearance ( Approximately 30 to 45 mins ) Ground staff and Moroccan crew member CSV Mr Majid Hllali was very helpful n getting this done with out further prolonging 4 Cabin Sprayed ex, CMN ( 06 08 canisters ) 5 DUTY FREE STANDARD  DUTY FREE SPECIAL PROMOTION ,PAs done, Cabin message sent, All crew mobilized to help the duty free operators and promote and educate about the duty free product",KIS Application
Un able to receive flight final prior to closing the doors,KIS Application
"Closing the flight     Please be advised that on top of descent one of the CSVs closed their flight, which automatically submitted and sent all the VRs from both the Purser and the other CSV, and no other changes could be made",KIS Application
Key board is inoperative Please note that writing all reports and crew performance without using a keyboard is time consuming,KIS Application
