description,subcategory
"the paperwork required as per the station information manual is the temporary landing permit for All crew members, however I have been informed by CCU ground staff to pass on the Message that the temporary landing permit is required for non Indian crewm",Station Information
No Juice Order Form Loaded  As flight instruction mentioned particular flight including HND to do juice order form  No Juice Order Form loaded in the aircraft,Policies
No Juice Order Form Loaded  As flight instruction mentioned particular flight including HND to do juice order form  No Juice Order Form loaded in the aircraft,Policies
The policies and procedures regarding On board Upgrades do not appear to be up to date,Policies
The policies and procedures regarding On board Upgrades do not appear to be up to date,Policies
OM E   The latest ACIs were not updated into the OM E in the Ships's Library,Service Manual
OM E   The latest ACIs are not updated in the OM E in the Ship's Library,Service Manual
"Upgrades using Non embossed Credit Card            A diplomatic customer insisted for an UG using her Black card Visa This card is a VISA credit card with Non Embossed digits As per manual, Credit card voucher should be filled using the swiping credit card machine which is not feasible in this case A message sent through CMT to verify and confirm whether to go ahead with UG or No A reply from Paul Fleming (MAS(NCC))stating as follow for credit card acceptance: 1) For Embossed & non  embossed card   make sure debit is bot mentioned anywhere on the card 2)check expiry date 3)Type of card (Master, Visa, AmEx or Dinner) 4) Name verification against boarding pass or passport 5) Verify signature 6) Card should not be Area specific 7) Visa electron, Master Maestro and JCB card are not acceptable The Question is, would hand written Credit card Form be filled by hand and accepted by the bank, contrary to what the manual dictates? Kindly advise, clarify and add it to the special instruction",Policies
The new procedure for the crew on arrival and departure in Brussels is as follows:   All crew members will not walk through the airport terminal Airport bus will meet the crew at the airport tarmac All crew to go together and no crew is to go out of t,Station Information
"In station information manual Ver 10 14FEB2018, for MXP, under Duty Free, it states crew are able to purchase Duty Free in MXP",Station Information
"In station information manual Ver 10 14FEB2018, for MXP, under Duty Free, it states crew are able to purchase Duty Free in MXP",Station Information
Crew going home on layover     It would be appreciated if company can consider putting it in writing in OME noting that crew are not allowed to leave the rest of the crew at airport (to go home) and vise versa on way back   Reason being that cockpit are not aware of these changes   Cockpit claim it is not in OME and thus it is not a company policy   Pursers are being put in akward situations when cockpit do not agree on this,Policies
OM E   The latest ACIs were not updated in the OM E,Service Manual
Page 5 of the 'Onboard Upgrades' section in the P&P manual states: 'Purser to obtain documents located in the Ship’s Library The upgrading package consists of: • Universal Credit Card Charge Forms • Brown envelopes',Policies
Page 5 of the 'Onboard Upgrades' section in the P&P manual states: 'Purser to obtain documents located in the Ship’s Library The upgrading package consists of: • Universal Credit Card Charge Forms • Brown envelopes',Policies
Page 5 of the 'Onboard Upgrades' section in the P&P manual states: 'Purser to obtain documents located in the Ship’s Library The upgrading package consists of: • Universal Credit Card Charge Forms • Brown envelopes',Policies
OM E   The latest ACIs were not updated in the OM E,Service Manual
"The station information manual states  Crew to complete AlcoholDuty Free Control Form and handover to ground staff on arrival I did not have of these papers in the purser folder, I had met the briefing staff on 2 occasions in Hq for collecting and handing over the document where crew need to check all their details and confirm the same by ticking their names, same was done and the paper was handed over to briefing staff",Station Information
Station Information Manual   The hotel staff in Accra ask for a copy of the GD during check in,Station Information
station manual need to be updated regarding the dropping of the GD as it has been discontinued   Station manual states that PUR needs to drop the GD in a grey box,Station Information
INFORMATION FOR NARITA MISSING,Station Information
INFORMATION FOR NARITA MISSING,Station Information
"OME 01800    GMT section missing in above OME, aircraft reg A6 EBE",Service Manual
DXB BKK Flight instructions included a trial for EK419 with connecting passengers to Dubai; Passengers to stay on board and EK ground staff in BKK will be responsible for head count   CAPT received email regarding the same trial procedure   SYD BKK fl,Policies
DXB BKK Flight instructions included a trial for EK419 with connecting passengers to Dubai; Passengers to stay on board and EK ground staff in BKK will be responsible for head count   CAPT received email regarding the same trial procedure   SYD BKK fl,Policies
"This is regarding the Upgrade paid by Credit card The manual stipulates to use the Manual Credit Card Imprinter However, Mrs Fitzgerald has Credit Card with non embedded lettersnumbers and the I imprinter was not possible to use The manual does not explain what to do in such situation",Policies
Station Information Manual   A dedicated Fast Track channel is available for EK First and Business Class passengers arriving in STN (both EU and non EU passport holders)  The ASM informed me that the fast track cards are not yet available as they are waiting until the can print the correct arrivals map on the back of them (STN is in the process of changing the procedure) Passengers can currently use their boarding passes to access the lanes,Station Information
"Station Information Manual   The SIM pages for STN state Give the original and second copies to the Purser The remaining two copies should be kept by the Crew Member who completed the C209 The Purser puts original copies together in an envelope inside the FC ambient bar, and the second copies together in an envelope placed on top of the same bar",Station Information
Waste Control section on Christchurch Station (page 32) is not applicable anymore according to information received by ground staff in Christchurch,Station Information
Purser Folder not found on board in SGN Found fast tracks Purser station,Station Information
"Crew Scheduling    home standby started at 3am on 20th of June 2018   Crew pulse showed flight EK015 to LGW Dep time 8:00AM   0405am received 1 missed call from crew scheduling which rang for 3 sec and cut off   Second call from crew scheduling was never made   EK015 to LGW was not removed and I was not marked absent , and still was not contacted by crew scheduling to confirm my flight",Policies
\ kindly ignore report was written in the wrong sector,Service Manual
Observed the customer crossing from business class to first class   Politely asked the customer if I can help him with anything as its not allowed to cross cabins   Customer stated I am here looking for my friend   Politely asked Mr Penn to go back,Policies
"Station information states BSR may request Purser to collect all crew Passports   Ground staff advised this is always a requirement, suggest to amend SIM to read must",Station Information
