description,subcategory
MIRF:400362  4 hours into the flight Ms Yoo approached the ML2 galley and informed us that she feels nauseous and dizzy,Passenger
"The customer didn't feel well while sitting , felt nausea and vomiting,when she stood up to go to the lavatory, while walking she fainted next to the galley   The crew immediately contact me and asked to come at MR2 station   The customer was laying d",Passenger
Child Vomited 3 hours before landing   Flight met moderate turbulence all throughout the flight   Mrs Somlyay said she gets motion sickness and vomits when he did not eat for a long period of time   She said they declined to eat the light bites since they preferred to sleep   He said he felt better after vomitting,Passenger
"Approximately One hour to top of descent, Miss Leung vomited   Miss Leung informed that she was fine and did not want to give us the SAMPLE   Miss Leung seemed very embarrassed and did not gave us any additional information",Passenger
"CUSTOMER ASKED FOR TELFAST  Customer went to aft galley during cruise and stated that she forgot her telfast  She had mild allergic reaction, red rash on her neck",Passenger
"Head injury; recovered  Casualty tripped over in lounge, fell and hit his head on to the door shelf  Cut above left eye, bleeding persistent  Responded and conscious, but appeared confused",Passenger
Suspected indigestion     Ms Sonea complained of discomfort in the stomach three hours after diner  She said feeling dizzy and described her stomach feeling heavy  She looked pale and weak,HRK
"During pre flight safety and security checks, I(Hye Park,215810) found ML1 FAK was open and not sealed  This was not registered on the cabin defect log book from previous crews",EMK/FAK/SEMK/UPK
"Fever:   During the cruise, Ms Moss stated her 11 months old daughter vomited while she was asleep and was hot to touch   MIRF No 338387",Passenger
"STRUCK ON THE LOWER BACK BY ANOTHER CREW MEMBER'S CABIN BAG WHEEL   Whilst preparing her items to disembark the aircraft and retrieving them from the stowage at MC1, Carolyne was struck by the wheel of CC Sjoerd's (434615) cabin bag accidentally whilst he was coming down the forward stairs  Captain Byrne(429417) had witnessed the accident  She had taken her own pain medication in the hotel, but had not contacted the doctor  She brought it to my attention on the return sector, that the pain was still present",Crew
"18 year old Miss Rajab fainted in the business class lounge    Miss Rajab was seen by April, s426709, sitting down on the floor in the lounge at 0248GMT  When April asked her if she is okay, Miss Rajab answered that she felt dizzy and weak  April tried to help Miss Rajab to sat her on the sofa and called for help  When I came to the lounge, Miss Rajab already sat down on the sofa, but then she fell down from the sofa and fainted at 0252GMT   When she gained consciousness after 2 seconds after she fainted, she looked fragile and weak   She claimed that her menstruation has started, took her own medication which is Scopinal 1tablet, had meal before the flight, and drank a glass of water only on board Address: Al Wasl Street 31, Villa 15, Dubai, UAE Cell phone: 971557107717",Passenger
"Medical case    During cruise, Mrs Pinto felt dizzy, hot and was slow to respond   Her husband informed us that this happened to her on a flight, in the past",Passenger
