description,subcategory
WiFi feedback  Logging in to WiFi from your browser and register to be able to connect is not known to our customers and they assume the WiFi doesn't work,Business Class
On Air WIFI and Live TV worked for 10 minutes on this flight,Business Class
"1 hour after take off, WIFI service was not continuous   Connected phones couldn't log on the service despite that they were connected to OnAir",First Class
"Mr Martin Paid for internet service, however it was not working   customer stated that despite being A Gold member, the system does not recognise his skywards number for free internet",Business Class
Internet wifi was INOP during the flight Live TV was operative  KU link not connected,Economy Class
Customer was unable to use her skywards free wifi access in FC     Customer claimed that she have registered to become a skywards member during the flight  Customer was unable to use her free wifi as her booking did not have a valid skywards membership number,First Class
"Live sport KIS alert     Please be advised that once the Live sport KIS alert for the FIFA World Cup appears, it is only showing the time when specific game is starting, and not which countries are playing   As a lot of customers were asking which specific countries will be playing, it might be beneficial to put that in the KIS alert as well",First Class
WIFI not available on both sectors of This flight,First Class
Customer claimed he bought WiFi in flight but his WiFi was going on and off through the flight and he wants able to use it   Customer was unhappy because breakfast service was started early,Business Class
Customer stated that he would like a refund for his money that he paid for internet as internet starts only working 2hrs to landing    Customer informed me that he paid twice the package of 1499 for his phone and his laptop   Captain did 2 reset aft,Economy Class
internet was on and off constantly  customer complained that He purchased the internet and it is very slow,Economy Class
WIFILIVE TV INOP   The WFI & LIVE TV was INOP for the majority of the flight   The last hour the WIFI came back on briefly however connectivity was lost again after half an hour,First Class
Customer claimed that he availed of 150Mb On Air wifi package but the connection was not fully established   His purchase reference no is 37904568   Customer e mail address: LCATALA@HOTMAILcom,Economy Class
no live TV  Mr Garcia was upset because there was no live TV on the flight,Business Class
There was no internet working on this flight Customers were upset because they were expecting to see the first FIFA match live The status of internet displayed msg : FAULT,First Class
Ms Khaled said that she purchased internet plan (150mb) but it didn't work  Plan was purchased few hours after take off  Crew was informed about that before landing  No complaints regarding WiFi were received by other customers,Economy Class
Customer claimed he could not log onto the internet even thought he bought a plan;  Customer's page was showing he used only 21 out of 500MB that he had purchased,Business Class
"Customer claimed that he paid OnAir Service, however the service was ON and OFF and the data transfer was very slow Mr Chicheri Illan claimed that the service was not working as expected and requested a refund of his money spent on the internet data package He claimed he had bought the most expensive package offered in the system After 15 minutes trying to restart the service, the connection started working The customer was still not happy with the speed of data transferred",Business Class
"Refund requested     Customer connected for few moment approx 3mins (used 3 Mb)  Customer claimed that he paid 15  Please contact customer for refund Gonzalovicuna@bypcl  2 hours and 30 minutes before landing, WiFi started working and customer was prompted that it is working now",Economy Class
Mr Balash ( suite 1K) couldn't log in using his skywards membershipE mail in order to use the WIFI   Customer was not happy that he had to pay for the WIFI service as he was expecting free WIFI in FC as it should be   Customer contact details : E m,First Class
"Unsatisfied Customer  1 Customer are unhappy about the aircraft operating from DXB to ABV, customer mentioned that they feel unsafe on this aircraft due to old aircrafts operating specifically on this route 2 They frequently fly emirates and have connecting flights what surprises them is that on their on going journey its new aircrafts 3customer mentioned that they pay a lot for their tickets for them to be flying on an old aircraft eg Navigation screens not working etc 4Customer mentioned that it feels more racist than anything because its always the same case with this specific route especially when it comes to the type of aircraft being sent",Economy Class
Customer only had chocolates and water and slept all through the flight,First Class
WIFI was not working on This flight,Business Class
"Customer claims that he purchased on air package of 1599, however, after 5 minutes of usage internet got disconnected and when he got connected again on the login page it did not accept his login details and prompted him to pay again  Customer showed",Economy Class
WiFi Refund     Shortly after the dinner service Mr Siddiqi complained that he paid for the WIFI however shortly after connecting the service disconnected and no longer worked  The customer also showed me a sms he received from his bank for the deduction of the WIFI charges,Economy Class
"on todays flight Many customers from FC, JC and economy Complaint that on air is not working and they are unable to login after several attempts",First Class
WiFi services in the aircraft constantly disconnected   customers is all cabin was unable to have a proper connection   customers was upset about this especially those that purchased the internet plan,First Class
"UNABLE TO CONNECT TO WIFI   Mr Saka was unable to connect to the OnAir wifi throughout todays flight   He has an IphoneX   Mr Saka informed me, that he came from Dublin & had no issues connecting on the previous flight",Business Class
"Customer 2 hours after take off stated she purchased for WiFi 150mb, however was not working   Customer showed the confirmation of the message that she purchased 150Mb   WiFi from her mobile device was not working from the beginning of the flight   T",Economy Class
"WIFI WAS ON AND OFF DURING THE FLIGHT    System was reset 3 times during the flight, after some time will stop working again  Customer complaining  As was towards the end the last reset done worked for the rest of the flight",Business Class
"WiFi not working   Mr Finnegan showed me the confirmation that he purchased the WiFi,  He claimed that the purchased WiFi finished up on 15 20 minutes and the system asked him for another purchase",Business Class
the wi Fi facility was not available throughout the whole flight  some customers asked About the wi Fi service facility  the Aeromobile and live TV facilities were available for our customers convenience  none of the customers complained When they were told that the service is not available,First Class
"Customer was not aware that the WiFi is free for skywards members, and she paid for the WiFi 10  and would like a refund",Business Class
Mr Makua was upset as he was not getting connected to WIFI       During we care Mr Mama claimed that he paid for the internet but was not getting connected  Mr Makua also claimed that he was able to use the free internet but after he paid he was not connecting to the internet,Economy Class
Miss Mansour informed Wi Fi is very slow,Business Class
Customer purchased 500MB internet after take off however the internet did not work   Customer presented to me the receipt of purchase through his Email to confirm   I checked his connectivity and the network was prompting me to purchase internet again,Economy Class
WiFi didn't work at all      Many customers were disappointed that the Wifi didn't work at all on both sectors DXB   CAI   DXB   The Onair page opened on the browser and was showing  Internet disconnected    Customers tried many times at many phases of the flight and they received the same message,Business Class
Mr Prasinos claimed that he used his credit card to purchased our on board wifi and it did not work on his device for the whole duration of the flight,Economy Class
"WIFI AND LIVE TV INOP   Live TV defect has been logged in CDD page out of DXB   Purser on inbound sector (GIG   EZE) claimed that WiFi was working from time to time   However, the WiFi was inop the whole flight EZE GIG   FC customer and JC customers were unhappy claiming WiFi wasn't working properly the whole way from DXB",First Class
just as general comment the wi Fi was working on and off on This sector   we had few minors complain,Business Class
CUSTOMER FEEDBACK   Mr Poloczek gave feedback about the connectivity OnAir   He said that it should not require password as most of the customer might not remember He said too that it should make it simple by just logging in thru email address as it all from the system,Business Class
Mr Quinnewall commented that the WIFI coverage page on Information section on IFE gave the customers frustration rather than useful information  He mentioned that the colour code for WIFI none coverage area was very confusing  The statement that the WIFI works on some flight was very vague and had no information value,First Class
Two hours into the flight customer purchased maximum am out of WiFi (1599)   WiFi did not worked during the entire flight despite multiple attempts   Customer stated she would like a refund and that she will also personally rise a complaint regardin,Business Class
"Unavailability of WiFi over unrestricted area      Approx 3 hours 30 minutes into the flight, customer asked cabin crew the reason why internet is not working   Explained to customer that we may be flying over a restricted area  Customer stated tha",Business Class
RE: : WIFI Availability   The WiFi was not accessible from the beginning of the flight   It was only functional in the last hour of the flight which was further shortened by the aircraft descent for landing   At least 04 customers expressed great interest in wanting to use it,Business Class
OLD AC Mr Popat after take off and before he went to sleep he commented that why Emirates sending an old AC to HKG IFE is not working properly and its not touch screen,First Class
OnAir WiFi not working for 25 minutes after reaching cruise faze     6 customers informed me that WiFi is not working They were using internet option 20 MG for free n 2 hours   Have not received any complain from customers having any of prepaid internet options,Economy Class
Mrs Poonsup could not connect the the wifi,Business Class
"Both sectors (DXBMRUDXB) were flown on EU  series aircraft with the Ku satellite system On both flights, the Ku connection was not available rendering TV and Wifi inoperative   however this was only the case over the ocean The OnAir guide showing the coverage map does not reflect this For most of the route we flew, the guide shows as availble From experience, this only seems to be a problem on aircraft with the Ku Satellite",First Class
NO WIFI  Before lunch service Mr Vavasseur brought to my attention that the internet is not working properly  Customer was not able to work as he planned because internet is extremely slow,Business Class
Paid the amount with credit card,Business Class
Customer Mrs Farah Farazad claimed the On Air WiFi   Free Usage stopped after just a couple of minutes use On trying to Re Connect to On Air WiFi   screen was displaying only the 'Paid' Options,Business Class
"CUSTOMER COMPLAINED WIFI DID NOT WORK   Customer rudely complain to crew WIFI INOP   He claimed that he purchase the highest data 500 MB to send and check his email   Customer mentioned that he bought the data around Vietnam area, 4 hours before landing   Customer showed the pc was connected to the system and had consumed 22mb data but he was not able to open his email   He mentioned that Singapore budget Airline has better connection than Emirates   He said that the brand emirates is an insult   Email Add: vardanganvahgn@yahoocom  contact no 374 9991 8882",Economy Class
Kind attention: Casa  Customer has claimed that he paid for on board WiFi and that he paid US17  WiFi did not work at all throughout the flight,Economy Class
Unable to connect     After take off customer was trying to connect on Wi Fi using his skywards password   When entering the email it was showing that skywards details are not entered   Mr Harris claimed that he was using the password in past flights   Customer details: simon@iatuknet,Business Class
"Customer paid for 150MB, but could not connect",Business Class
"Onair works intermittently   A number of customer raised complaint about the Wifi  Wifi had been reset from FAP as well as from the FLight deck  It works shorthly after reset, then stops again  A message was sent to Dubai Engineering to resolve issue  Followed advise, which resolved issue  Informed customers",First Class
"ONAIR WIFI ISSUE  Mr Shah wanted to speak to me regarding his use and payment for WiFi  He claimed that this is a recurring issue as his free package finished in a span of one minute and he had only sent 2 messages on WhatsApp  Mr Shah claimed that recently on his flight to Bombay, he had paid for 500MB and they also finished within less than one minute  Mr Shah confirms that his applications are switched off so as not to use up his data, and he believes some error is with the WiFi service",Economy Class
FREE WIFI IN PREMIUM CABINS  Many customers travelling in premium cabins come to the aircraft thinking that wifi is free as per they class of travel  When they realise that they need they Skywards details to actually get the benefit of the free wifi they fell frustrated,Business Class
"The Wi Fi services didn't work after take off for all customers  Some customers were able to connect, however others were unable  Checked the CMT & connection page of the Wi Fi internet page, the symbol was showing (Orange colour) & then sometimes (Gre",Economy Class
"Overall customers were pleased with the meal and business class service, however were disappointed that WI FI was not available",Business Class
Wifi Purchase    Mrs Rintala brought to crew attention that she bought internet and the service was unavailable few minutes later,Economy Class
No satellite coverage for wifi for around 80% of the flight,Economy Class
"WIFI NOT CONNECTED     According to Ms Mette claimed, she had bought wife of 9 us dollars and after couple of hours her on air Wi Fi got disconnected  The passenger could not reconnect the internet till landing  The On Air Wi Fi was working in the entire aircraft and on other passengers devices apart from Ms Mette who could not connect to the Wi Fi",Economy Class
Several customers mentioned that the wifi was inoperative,Economy Class
"Mr Demic informed me that on his previous flight from SYD he paid 16USD for the internet, however it didn't last long as he claimed that internet was not working   On today fight MR Demic bought internet for 10usd and he claimed that he only sent three",Economy Class
Internet inoperative     During the flight Mr Kimmo brought internet for his personal work   He used his credit card for the purchase but unfortunately it was deducted from his account by internet did not work at all during the flight,Business Class
Internet service got discontinued shortly after successful connection Ms Ore claimed she bought 500 MB internet plan but she was not able to finish it because the service got discontinued shortly after connection,Business Class
"ONAIR WIFI USAGE   Customer claimed that the On board Wi Fi that he had purchased to use 150Mbs, stopped working in his mobile phone though there was 15Mbs of data still remaining",Economy Class
"Customer paid 499 dollars for the internet Used it around one hour, and it was disconnected Mr kariuki claimed that you haven't used any videos, and only used what's app and Facebook Customer always fly this sector monthly and he claimed that it stays open for the whole flight",Economy Class
Customer claimed she used the internet free for only one text what's app and it didn't work anymore She claimed she didn't use the 2hours,Economy Class
Ms Colgan claimed that she logged in to the WiFi by paying 10 After 10 minutes she was logged out and a message was displayed ( Something went wrong) Ms Cogan had to pay 10 additional to log in to the WiFi Ms Colgan didn't ask for any refund,First Class
Customer paid 15USD for the internet but could not connect for the duration of the flight,Business Class
Customer very upset over WiFi connection disruption        Customer was very upset over WiFi connection as she claims she paid for the full price of 500MB   15 USD  The WiFi connection kept on disconnecting and towards end of the flight it stopped w,Economy Class
Customer very upset over WiFi connection disruption        Customer was very upset over WiFi connection as she claims she paid for the full price of 500MB   15 USD  The WiFi connection kept on disconnecting and towards end of the flight it stopped w,Economy Class
"Mrs Sabawi purchased the 10 ( USD ) package and its not working She claimed that she purchased the package of 10, and get connected with her son and unfortunately is not working and she lost her money She added am not happy to pay for something which I did not used She said that she wanted her money back",Business Class
"On Air WIFI   complaint   Mrs Patel tried to log into On Air Wi Fi using her email address and password, however it did not work   I tried to connect her to the free Wi Fi for 2 hours, and again it did not work",Business Class
WiFi not working     Mrs Utturkar claimed that she purchased 150 Mb and her WiFi didn't work  She has stated that she received a payment message and she showed it to me  She also said that whenever she tries to reconnect it shows her back the choosing list of payments,Economy Class
NO WIFI   Customers are complaining that the On Air Wifi cannont be detected by their phones   Checked the Wifi connection and all parameters were on stating that there is wifi,Business Class
Customer couldn't access WiFi with his skywards credentials   Customer mentioned that this has been happening couple times already  Customer suggested that we should have additional password to give to the customers in those kind of cases  Customer wan,Business Class
Aeromobile internet and live TV inoperative   Couple of customer enquire about the internet serviceability during the flight as they could not log on to the internet during the flight,First Class
"Customer paid 15,99 in the beggining of the flight, but could not connect internet for the duration of the flight",Business Class
WIFI INOP   WiFi was INOP    The OnAir network wasn't available,Business Class
WiFi inop from take off till 5 hrs into the flight No refund were asked by any customers,Business Class
Mr Koegeler During the sector from Larnaca to Dubai was unable to log in using his skywards number  An error Message advised that his skywards number was not attached to the booking even though on the last sector (Malta to Larnaca) it worked fine He claimed,Business Class
on todays flight we had two instances in business class where skywards members logged in on the sector Malta to Larnaca Then after take off from Larnaca to Dubai both tried to sign in again and were advised by error Message that their skywards member number was not attached to This booking even though it worked on the first sector,Business Class
"Customer purchased two rounds of the 999 internet  This was deducted from her account however, the internet did not connect",Business Class
Mr Messhen During This sector faced technical issue logging into WiFi  He received A error stating that his member number was not attached to the booking,Business Class
Mr Witter's wifi did not work even though he paid for it   He said that he did not even get the screen of the free option   He had tried two of his devices   His contact details:  Mr Leon Witter Tel   447720652167 email: leon@ocean financialgroup,Business Class
"CUSTOMER PURCHASED 1599 PLAN AND DID NOT WORK     Mr Worsfold paid our most expensive plan and could never use it from his MacBook to work, as he intended   It took him 24 minutes to download a webpage User id: callumworsfold@gmailcom OnAir ref: 37270103 Phone : 07969819500",Economy Class
Customer Complaint  Customer claimed that she paid for the Internet however she couldn't establish the connection,Economy Class
"Mrs Mulla stated that she has purchased wifi 9,99 option   She stated that she was unable to use it for one hour   Wifi system was showing service unable for one hour",Business Class
"Customer paid, but was unable to connect to the WiFi for most of the flight  Ms Park informed us that she was having difficulty connecting to the WiFi  She was able to connect initially, but after a few minutes, she was no longer connected and while numerous crew members tried, was unable to reconnect",Business Class
"Numerous complaints about the on air WiFi  During the flight, we received numerous complaints about customers experiencing difficulty with connecting to the On air WiFi",Business Class
NA to this Drop Down Category:   The Wi Fi services was interrupted at several occasions throughout the flight  At times it worked normally & at other times it Stops  Some customers were able to connect to Wi Fi & other were not able at all,Economy Class
"Re: Customer complain about not getting connected   During the flt Ms Nerlyn Jean connected to the WiFi & attempted to use the complimentary on board data She claimed to not getting connected & eventually ran out of the 02 hours time frame   Ms Nerlyn stated that she went ahead & purchased 500 MB for USD 15:99, hoping that she would stand a better chance for connectivity   Customer claimed that she never got connected on to the WiFi & unnecessarily made a payment of USD 1599   She stated that she had used a Debit card (VISA CHASE) to make the purchase onboard",Economy Class
"Customer claimed he paid for WIFI nada every time he pays the page will redirect him to the payment page Customer also claimed that when he used the help, option they replied back saying he used all his data",Economy Class
"Live TV World Cup  Feedback       Many customer were observed watching World cup, live on their phones, while boarding the aircraft;   During boarding a PA was med in English and Arabic to informed all customers that Belgium and Tunisia is playing live on Sports 24 channel on ICE;   Many customer, including female customers, requested assistance to play Sports24 channel on their screen;   Majority of customers in J class were watching the game in J class;   Skywards Platinum member, Mr Geyer, seated on 6D, was observed particularly happy and excited about the news;",Business Class
Several customer complained about the internet service When the availability was full strength the signal was extremely weak,Business Class
Internet Refund   Mr John Miller has paid for internet cost US1099 right after take off  He has been trying for 3 hours to log on to the net but was not possible It was showing connected but he just can't connect to any browser  Few attempts tried throughout the flight but failed  Mr Miller was very disappointed and would like a refund,Business Class
wi Fi services was not available throughout the flight  live TV services were working properly,First Class
Wi Fi alternative connection methods  Mr Bowie suggested that an alternative method of connecting to the Wi Fi service shall be made available for all first class customers which could not remember their password or are not a member of the Emirates Skywards Program  Mr Bowie stated for customers travelling in first class the access to the Wi Fi service should be free of charge and unlimited irrelevant of their Emirates Skywards status  It was suggested that a  promo code should be offered once with the issue of the boarding pass,First Class
WiFi didn't work on HRE  DXB sector 1  During the flight costumer informed CC he purchased 500 Mb on first sector LUN   HRE 2  On the second sector HRE DXB the WIFI didn't work for reminding of the flight,Economy Class
"After the last service, Ms Iravanian told me that she purchased 15 WiFi but during the duration of the flight she claimed she was only able to use the WiFi for the total of 30minutes combined She was disappointed that she could not get WiFi as she pa",Economy Class
"After the last service, Mrs Sajid told me that she purchased 15 WiFi but during the duration of the flight she claimed she was only able to use the WiFi for the total of 30minutes combined She was disappointed that she could not get WiFi as she paid",Economy Class
FEED BACK ON WIFI  Mr Al Mulla informed that he was unable to log into the wifi using his skywards number  he stated he was only able to log in through the 2 hour complimentary wifi,First Class
WiFi                  Customer seated in 7K Mrs Mhytily and customer seated in 21J Mr Lihala asked might ask for a refund since they could not connect to the WiFi during the flight  Customer contact details: Mr Mhytily: mythkrishy@gmailco,Business Class
"Mr Iqbal stated that he purchased an internet package for 500mb  2hours before landing he couldn't connect anymore so customer complained he couldn't finish the data, few applications were functioning: WhatsApp and emiratescom",Economy Class
"WIFI REFUND       Mr Ketabchi at 8J was unable to use the wifi service, he had paid for the 1599 USD package and could not connect   Aeromobile and wifi services was checked and operative on this flight No contact details given",Business Class
Customer Feedback    Mr Mukherjee enquired about whether the WIFI on board was free  He stated FC customers regardless of their HV status should be provided with free WIFI throughout the flight as they pay a lot of money for the seats,First Class
Customer Mr Hirtzig paied asked for refund       Customer informed me he paid for 150MB internet in the beginning of the flight   Internet throughout the flight worked onoff   Customer slept and when he woke up his MB had expired   Customer claimed he didn't use the internet during flight,Economy Class
on air WIFI purchased but not working During no coverage time   Mr Barbosa was upset that He purchased WIFI and did not work customer was informed that the air space we were on restricted its function(no coverage zone)   This was apparent because even the live TV stopped working,Economy Class
"WIFI AND LIVE TV INOPERATIVE       During the flight, WIFI and Live TV was inoperative   Upon checking the CabinIFE logbook, deferred page, it was logged that TVINTERNETMOBILE system work intermittently and there's a history for the Live TV to be inoperative",First Class
"WIFI AND LIVE TV INOPERATIVE ON BOARD       Customer claimed that she is not happy with her past flight from DXB BCN (A380) because WIFI and Live TV did not work through out the flight   And today, it's the same problem and she claimed that she initially booked her flight to BEY with Fly Dubai but decided to fly with Emirates instead because of the WIFI and Live TV services   Customer claimed that she is very upset and will definitely not book flights with Emirates anymore   It was logged in the CabinIFE logbook that system works intermittently and there's a history for the Live TV to be inoperative",First Class
GoldPlatinum member can't log in in Wifi   Platinum and gold skywards member travelling in economy can't log in in the on air WiFi  Customers tried to put there skywards number and password but not recognised  WiFi was not working properly during the flight (using non skywards option)  No compliant to customers,Economy Class
Mr Pascualpalma paid 10 USD by credit card for on board WiFi after 2 hours free WiFi He went back to the web it shows 'Something unexpected happened Try again later' He couldn't use the internet which he paid for the rest of the flight,Economy Class
the wi Fi services were INOP throughout the flight,Economy Class
WiFi Refund     Shortly after the dinner service Mr Herbert complained that he paid for the WIFI however shortly after connecting the service disconnected and no longer worked  The customer also showed me a sms he received from his bank for the deduction of the WIFI charges  Reference 38243510,Business Class
"Customer complain while I was introducing my self to the high value customers ,I observed Mr Ali seemed not very happy when I enquired him if every thing was fine, Mr Ali said it 20 min for the crew to get him a can of Pepsi",Business Class
This Aircraft has the facility of InternetVoice & datadata roaming No connection available for internetmobile,First Class
This Aircraft has the facility of InternetVoice & datadata roaming No connection available for internetmobile,Business Class
This Aircraft has the facility of InternetVoice & datadata roaming No connection available for internetmobile,Economy Class
on air WiFi not working on laptop    Mr Felci paid 1599 to use the WiFi on his laptop  Once connected he claimed it did not work,Business Class
Customer unable to connect to WIFI after payment   Customer made a purchase using his Debit card ending with number 4910 for USD 1599 package   The connection was not stable from customer feedback and was barely able to connect,First Class
Customer complained that he paid for the WIFI and it was not working Internet was working intermittently throughout the flight,Economy Class
During cruise Mr Chobdar requested some assistance regarding the wifi connection claiming that he purchased the 500MB internet plan after using all his 20MB free data however Mr Chobdar claimed that he was disconnected and he was given only 20MB free p,Economy Class
Mr Canning informed us that his wife's Aero mobile is going straight to the page where she supposed to pay for internet    Mr Canning told us she didn't use the free data of 20mb So how come it showing the option of paying fir internet,Business Class
customer cannot connect to on air WIFI network using his skywards membership number,Business Class
Customer Feedback    MrsPennycuick enquired if the WIFI on board was free  She was a surprised that we do not provide free WIFI throughout the flight and claimed that Qantas provides Free WIFI to its customers even in Jc by providing a code  She stated it was the basic for Fc customers to be able to get the service without having to pay for it  Customer was not upset,First Class
"WIFI not connected  Shortly after the dinner service, MsSumich called the crew to inform them that she had bought the on board WIFI and claimed that she paid USD 799   She claimed that the WIFI was not connected at all and once it was connected it was very slow  Ms Sumich then showed me the mail which confirmed that she had bought the WIFI on this flight",Economy Class
Customer claimed he paid 15 for the wifi and it did not work     Wifi did not work for some time during the flight,Economy Class
