description,subcategory
"on the previous sector DXB  TPE , the catering operator informed us that we will Load cup noodles only for One sector and from TPE we will be catering with cup noodles   While doing the catering checks , asked the catering operator for cup noodles, the",YC Prod / Service
"Tea and Coffee not served on express breakfastlight bites   due to turbulence, flight deck advised not to serve tea and coffee   the service also commenced an hour and a half after take off because of the weather",YC Prod / Service
"FYI crew seated after the service for 40 mins due to turbulence, as per Captains instructions From 10 1040 Hot drinks not served for approximately 1 hr due to turbulence as per Captains recommendations",YC Prod / Service
"Meal and drinks orders taken on ground  During the briefing the flight crew informed that we might experience moderate turbulence for the initial 1 hour and a half Considering departure time and customers' needs drinks and meal orders were taken on ground at Purser Eoghain Shanley, staff 386489 discretion",JC Prod / Service
"Anticipated Turbulence Approximately 1 hour after take off the captain requested that all services be temporarily suspended, and cabin crew seated due to anticipated turbulence Services were delayed by 5 mins only",JC Prod / Service
"Due to short cut into MXP without advance notice , there was no enough time for hot towel before landing",JC Prod / Service
An express snack was served an hour prior to top of descent A lot of snacks were wasted as most of the customers were sleeping Approximately about 10 percent of the snacks were taken Passenger load: 331399,YC Prod / Service
An express snack was served an hour prior to top of descent A lot of snacks were wasted as most of the customers were sleeping Approximately about 10 percent of the snacks were taken Passenger load: 331399,YC Prod / Service
2 Services in a very short flight       SSQ stated 2 services ( dinner  express breakfast) in a 5 hours flight   When second service started customers were sleeping,YC Prod / Service
KiS didn't close the flight  KiS and MOD's couldn't synchronize  There was no internet on the flight  UAECREW network not available,JC Prod / Service
Express Breakfast  The express breakfast service before landing had 90 percent of the pastries unused as all customers were asleep or did not want to eat anything,YC Prod / Service
Express Breakfast  The express breakfast service before landing had 90 percent of the pastries unused as all customers were asleep or did not want to eat anything,YC Prod / Service
"Due to A consistent turbulence, as advised by the Captain, tea and coffee service was suspended",YC Prod / Service
MENU CARD NOT AVAILABLE     Menu card was not loaded for MRU  DXB sector,JC Prod / Service
"Customer complaint about the service timings  While distributing the starters, the customer complained that the service took too long",JC Prod / Service
Linen was not found anywhere   galley operator confirmed we had it onboard When He did galley checks   trays were delivered without linen,JC Prod / Service
As per one liner   before opening any wine bottles from the bar the ones from ROB container should be used first This however does not ensure serving chilled white wine to customers White wine is served at room temperature and it was observed that several customers left their wines untouched or asked for ice to be added to their wine,YC Prod / Service
As per one liner   before opening any wine bottles from the bar the ones from ROB container should be used first This however does not ensure serving chilled white wine to customers White wine is served at room temperature and it was observed that several customers left their wines untouched or asked for ice to be added to their wine,YC Prod / Service
"This is feed back regarding express breakfast service I think the new service works extremely well, and paper cups are a great idea and good size so that passengers get a good size hot drink of their choice However the paper cups have a ridge around the outside which when in the cabin make it very difficult to pull the cups apart",YC Prod / Service
"as per service sequence , extra drinks can be added depending on customer profile request",YC Prod / Service
"Cart set up for drinks Most customers on this flight asked for whisky or beer, Their drink orders were taken and served once crew members finished distributing their carts by then customers were getting upset and making their way to the galley for their drinks It took along time to commence tea  coffee service as crew were busy serving drinks as they could not deliver them with the meals A bar following meal carts is highly recommended for these flights",YC Prod / Service
"Cart set up for drinks Most customers on this flight asked for whisky or beer, Their drink orders were taken and served once crew members finished distributing their carts by then customers were getting upset and making their way to the galley for their drinks It took along time to commence tea  coffee service as crew were busy serving drinks as they could not deliver them with the meals A bar following meal carts is highly recommended for these flights",YC Prod / Service
meal ordering device was not used as crew working in J class cabin were pulled out and they were working out of their grades  only One MOD was available,JC Prod / Service
meal ordering device was not used as crew working in J class cabin were pulled out and they were working out of their grades  only One MOD was available,JC Prod / Service
"CUSTOMERS UPSET OVER LIVE TV  Many customers expressed their outward dissatisfaction with the unavailability of the Live TV  The customers claimed they called Emirates offices, and were reassured by the staff that the airplane they would be flying on would have LIVE TV available",YC Prod / Service
"IFE INOP  IFE became inoperative for many customers during the course of flight (30 customers in the aft economy cabin)  The IFE was inoperative for 15 20 minutes, as many took more than one reset to fix",YC Prod / Service
