description,subcategory
During securing the cabin for landing crew member Huyen Trang Tran ( 437886 ) asked politely the customer to give the blanket as it is an exit row  Customer refused showing a dismissive hand gesture,Passenger Behaviour
After landing while we were taxiing to the gate many customers including children were walking around the cabin even though several announcements (PAs) were made in English and Arabic,Crew Procedures
Customer was asked to be seated during taxi several times   Mr Ehab got up after landing to go to a toilet and was told to go back to his seat   He then was seen standing in the cabin refusing to take his seat   While standing and being asked several times to take his seat he asked for a landing card   Crew member Yan told customer several times Togo back to his seat   Customer later made comments when disembarking that he didn't like the way he was spoken to by the crew but failed to mention that it was due to him standing up during taxi,Passenger Behaviour
Customer refused Lavatory use on landing into Dubai Please be advised above customer requested to use the toilet after we passed the checks for landing and was denied,Crew Procedures
customer refused lavatory as checks past for landing n Dubai,Crew Procedures
Smoke alarm was activated in Lav N   on inspection there was A faint smell that seemed electronic rather than Due to conventional Smoke   Miss Hughes was seen with An e cigarette in her hand A few minutes before   she denied using the cigarette and said she was only holding it,Smoke
"Mrs Pellini had a large toddler who was too big for a bassinet She was travelling with another lady and child  Another seat was offered for her friend along the same row so she could have a seat next to her for the toddler , as travelling for 14 hours with a baby on her lap is quite challenging They declined the suggestion of utilizing the spare seat as the ladies insisted on seating next to each other Instead she repeatedly placed the child on the floor to sleep and then would get angry with the crew every time she was asked to pick up her child of the floor She even stated it was not her problem , Emirates should have larger bassinets to cater for larger babies and toddlers",Passenger Behaviour
Passenger was caught smoking in Lavatory R by L5 door,Smoking 
Smoking in lavatory  Passenger was caught after smoking in Lavatory R by L5 door  This was approximately two hours before landing  Smoke detector not obstructed or tampered,Smoking 
CUSTOMER SITTING ON THE FLOOR   During cruise it was observed that customer was sitting on the floor in front of his seat (bulkhead seat)   He had his laptop on his seat and was working on it from the floor,Passenger Behaviour
"USE OF NON APPROVED INFALABLE FOOT REST   During cruise, customer and her husband at 80C were both resting their legs on two inflated leg rests which resembled Fly LegsUp  Jet Box (BedBox)   They were seated at an emergency exit row   The size of the inflated leg rest was as large as an average cabin bag and was beige in colour",Passenger Behaviour
"Inadmissible passenger   The ground staff at HKG station hand over a printed email from Dubai about Inadmissible passenger   The email stated Mr Riah Yacine will be escorted by two Emirates group security escort (Mr Tushar Singh, Mr Kumar Suneesh) on EK383   The ground staff brief the case to Captain and me   When police and group security escort Mr Yacine to aerobridge for boarding, Mr Yacine start to shout and yell I don't want to go   Mr Yacine displayed aggressive action   The unfriendly action was continued and the boarding could not be commenced   When Emirates has decide to put Mr Yacine on next flight to Dubai, local authority request Captain to sign on paper that Emirates would pay 200,000 HKG dollar",Passenger Behaviour
"False Fire Alarm           At 04:15 GMT, Smoke detection alarm horned on at 5ML Lavatory   4 crew ran to the scene with 4 halons, 1 halon got the seal broken for fire fighting procedure   Cold door fire fighting process initiated and passenger was",Smoke Detectors
"after passing checks to Purser and secure my self, according to landing into Dubai, Mr Kapoor stood up and rushed to me asking for water   Then He went inside the galley to find what He was looking for",Passenger Behaviour
"Passengers Singing  Dancing  Over Crowding   During cruise, approximately 30 passengers started singingdancing at MLR4 to MLR5 Cabin vicinity  Most of the passengers in that respective cabin supported the initiative (World Cup)  No direct impact to our safety security regulations were evident",Cabin Management
Passenger smoking in the toilet     During cruise crew saw the customer leaving the toilet and smelled smoke  Smoke detector was not activated Toilet R at L5,Smoking
Customer lost his phone under the seat and was not found   After landing customer claimed that he lost his phone under the seat  Customer claimed that he herd the phone falling but can not find it,Cabin Management
An incident occurred on todays flight regarding a lady traveling who was 3031 weeks pregnant As I am fully aware a revision was made to section 1114 of OME However now the OME (as per VPNC advice) no longer states any required date of letter authenticity,Crew Procedures
