description,subcategory
"Money   During the pre flight Security Search, CSV Mircea Gonciar, s363775 found a 6 bundles of 100USD notes under the seat cushion of 29A According to CID, the amount was around 60000USD",Suspicious Items
"During security search in SEZ, CSV Mircea Gonciar (s363775) found 6 bundles of cash under seat cushion of the seat 29A  Currency: USD  100 dollar notes",Suspicious Items
3 VCM   No R3  No L5a  No R5a,Security Search
"Refusal to take his seat during cruise     Mr Hasan was standing in the aisle with a friend   I politely requested to take his seat, he asked what is the problem?   As we were commencing the dinner service in both business and economy class cabins, I asked him again politely to return to their seats to prepare for the meal service   Offered to assist with his table and placed the linen on it   He asked which country I am from and made a derogatory statement towards my nationality",Disruptive/ Non
"Refusal to take his seat during cruise     Mr Alnaqbi was standing in the aisle with a friend   I politely requested to take his seat, he asked what is the problem?   As we were commencing the dinner service in both business and economy class cabins, I asked him again politely to return to their seats to prepare for the meal service   Offered to assist with his table and placed the linen on it   He asked which country I am from and made a derogatory statement towards my nationality",Disruptive/ Non
"Auto boarding cancelled   Security search with missing crew     Auto boarding was delayed as the crew were missing 3 crew members and search areas were distributed amongst other crew Crew arrived at the aircraft at 21:00 Crew commenced security search at 21:05 Boarding clearance given at 21:27 Purser did not wait for crew to arrive before commencing search, duties and areas were redistributed to other crew",Security Search
passenger is travelling with 2 children   Children were kicking the seat of passenger seated in front for the entire duration of the flight   4 hours prior to landing passenger in 80J asked Mr Qasimi for his daughter to stop kicking his seat   Passeng,Disruptive/ Non
"CUSTOMER BOARDED THE AIRCRAFT INTOXICATED  Report 22   He then fell asleep prior to being served his dinner  Customer slept for approximately 7 hours and then woke up to request for light bites He also requested for a glass of champagne  He then had requested for a second serving of light bites, breakfast martini and cappuccino  He slept again, and had declined breakfast In the middle of the breakfast service, customer woke up and when suggested informed me that he would have breakfast, his initial meal choice was not available, but customer had the scrambled eggs, a glass of champagne and a cappuccino",Disruptive/ Alcohol
"Customer Observations       Mr Oldfield boarded the aircraft and went to his allocated seat, 17j and he found another customer had occupied his seat   He commented to the customer stating that he wouldn't mind sharing the seat with the customer, saying she could even seat on his lap   The female customer appeared embarrassed apologized for seating on his seat and stated she would go back to her original seat which was the one in front 16K   He sat on another vacant seat, 17G which was later assigned to him",General
There was a male customer allocated seat no 38B on this sector Ground staff informed,Confidential Issues
Verbal use    During boarding customer Mr Kabbara got into an argument with the customer seated at 35B Mr Fadi Hassoun  Mr Kabbara claims that he took permission to place his bag containing chocolates in the hat rack above his seat next to customers(35B,Disruptive/ Non
Verbal use    During boarding customer Mr Kabbara got into an argument with the customer seated at 35B Mr Fadi Hassoun  Mr Kabbara claims that he took permission to place his bag containing chocolates in the hat rack above his seat next to customers(35B,Disruptive/ Non
