description,subcategory
OM E      OM E is up to date however the ACIs is not up to date,OME Braille W.Stmt
OME not update Missing ACIs N 4 16,OME Braille W.Stmt
The OM E has not been updated with the latest (current) ACIs;,OME Braille W.Stmt
"Missing sections in OME      Please be aware that 777, A380, Security and GMT sections in OME are missing at UL2 stowage",OME Braille W.Stmt
"Missing sections in OME      Please be aware that 777, A380, Security and GMT sections in OME are missing at UL2 stowage",OME Braille W.Stmt
"Missing sections in OME      Please be aware that 777, A380, Security and GMT sections in OME are missing at UL2 stowage",OME Braille W.Stmt
OME manual:  Manual does not have latest ACI,OME Braille W.Stmt
OM E had only first 3 ACIs,OME Braille W.Stmt
"OME was missing ACIs   It only had 2018 01,2,3",OME Braille W.Stmt
"OME was missing some sections (pages were missing) from the CWS ships library   missing sections were: B777, A380, first Aid and Dangerous goods & Security",OME Braille W.Stmt
No OME was located in the ships library,OME Braille W.Stmt
No OME was located in the ships library,OME Braille W.Stmt
No OME was located in the ships library,OME Braille W.Stmt
"OM E hard copy had missing pages  General safety, A319 and A330340 were the only sections found in the manual",OME Braille W.Stmt
OME is missing current ACIs (Nos 014 016),OME Braille W.Stmt
only 1 OME available on board and placed inside ships library   no OME at R5 station,OME Braille W.Stmt
OME was checked as part of my security search,OME Braille W.Stmt
OME was missing ACI Only had up to 2018 03,OME Braille W.Stmt
The OM E has not been updated with the latest (current) ACIs;,OME Braille W.Stmt
ACI missing    ACIs 14 15 16 missing,OME Braille W.Stmt
On arrival onto the aircraft OME was found missing from ships library,OME Braille W.Stmt
"AIC 2018 14,15,16 missing on OME",OME Braille W.Stmt
The OME is hip's library is missing all the ACIs,OME Braille W.Stmt
OME does not have current ACIs,OME Braille W.Stmt
OME was checked as part of the security search,OME Braille W.Stmt
The USB cable for the printer in EED is broken Please replace,OME Braille W.Stmt
"The OME in EED is missing many ACI, only has the first 3 for the year",OME Braille W.Stmt
no ACI added to the OME (not A single One ACI available),OME Braille W.Stmt
NO OM E       When checking the Ships Library it was observed that no OM E was available,OME Braille W.Stmt
