description,subcategory
HEEL BROKE IN AIRPORT,Image and Uniform
"Clarification on Crew Uniform Standards      Is it acceptable to have galley operator in Business Class remove the hat for boarding as they are not in view of passenger on A380?   Kindly clarify if acceptable or not, as I notice an increase number of crew not adhering to this and have to be advised to do so Reason is due to galley preparation during boarding",Image and Uniform
"While walking in the cabin from R5, I noticed customers on row 38 having an ice bucket with a coloured drink in it  When I asked crew member Sarah who was in the vicinity , she mentioned she didn't know about it and Carlo , the galley operator had done",Service
FLIGHT PERFORMANCE ASSIGNED TO SUPY CREW   Crew is operating her second supernumerary flight   A flight performance was assigned to her,Service
Fake eyelashes were observed,Image and Uniform
Laura had a very tight and short skirt,Image and Uniform
Belinda gave An Incorrect answer for the first Safetalk question   I Then asked A second Safetalk question and again she gave An Incorrect answer   I Then asked A third question (B777 ATR) and she gave A correct answer   I clarified the correct answers for the first and second Safetalk questions,Safety
"upon disembarking from the crew transport Princess noticed that her cabin bag handle (the One attached to the cabin bag) was teared up  During document checks and observation of cabin crew suitcases and cabin bag I can confirm that All the cabin bags in the hotel were in excellent condition  Please REPLY directly to the affected crew member, thank you",Image and Uniform
"I would like to give A Suggestion to the service department for the timing the lunch service is offered  most of our customers did enjoy the continental breakfast, which they said it was enough, however they were hungry before the time the service would",Service
"FEEDBACK ON SINGLE CSV     Boarding was very challenging without another CSV or crew member present, most of the customers travel in large groups and do not speak English, it is close to impossible to board 386 customers while also trying to answer their queries and pick up the interphone at the same time alone  The crew have to be in the cabin in order to maintain a smooth flow and guide customers accordingly  Many customers had queries on upgrades to inquiring about seat and meal issues",Security
SKIRT NEEDS ALTERATIONS       Luzaan has a very loose and long skirt   Her top keep coming out,Image and Uniform
"CREW COMPLEMENT ON 7772 CLASS FEEDBACK      3 hours into the flight, one GR1 got extremely sick, where I had to stand her down, attend her, call Medical assistance on ground 4 times from the cockpit, PA for Medical professional on board, open EMK, make sure the procedure was followed; Doctor had to administer injection from EMK, I had to do the delicate job of making sure the equipment was used correctly, close it, fill the Dosage form, write several KIS reports)   During this challenging time, I even had to call the Cabin Supervisor from YC (the only CSV available) to come and assist me while I am calling Medical assistance from the cockpit, which means that she had to leave the full cabin and service that was taking place to come to assist me   During this time, only 2 GR1s were available in JC, they were running the service and at the same time attending the Cockpit, who, of course had their needs too (food, toilet break)",Safety
"CREW FEEDBACK FOR PLACING CUSTOMERS TABLES  the new service was discussed with the crew and the following feedback was taken :   Everyone agreed its faster    it was observed that its not efficient to send the galley operator to place the tray table , as heshe are needed more in preparing the trays from soups , bread and galley equipment   it was observed that middle and window seat are hard to place specially when customers doesn't assist by opening their tables    it was suggested to be purser and other CSV instead to place the linens",Service
"Crew Suitcase Damaged    Upon arrival into DXB, flight dispatcher asked for a crew member named Christopher and stated that his bag was dropped accidentally from the belt as it was being taken out of the cargo bay to be loaded into the crew bus   Dispatcher stated that the suitcase was heavily damaged",Image and Uniform
"ACCIDENTAL TEARRIP ON UNIFORM SKIRT     During pre flight security search crew member Katrina's skirt was accident ripped, as she was searching inside the Ul2 closet  The skirt got caught on the metal frame of the closet door, and got snagged, and there was a visible tear on the back of her skirt",Image and Uniform
"Linen Delivery    Has been observed that linen delivery for Breakfast service from galley operator is not convenient  Cabin crew who deliver trays, have to load the hot meals on the trays by themselves, as galley operator is busy delivering linens  This procedure is time consuming, and takes time to deliver the trays to customers, as cabin crew have to wear the oven gloves on, open the oven, take the meals and place them on the tray and this procedure has to be done many times",Service
