description,subcategory
"Flat tyre  Half an hour into our drive to the airport, the bus had a flat tyre Pickup was at 15:20, the tyre burst at 15:51",Outstation
Customer requested for a Chauffer Drive when arriving to MUC on 15062018,Outstation
NO CREW TRANSPORTATION FROM SHERATON MUNICH Please be informed our pick up was scheduled at 08:15 from Sheraton Hotel Munich however no crew bus arrived to pick us up,Outstation
Chauffeur drive booking   after boarding the passenger notified the cabin crew that did not book the Chauffeur drive service and enquired that if anything could be done,Outstation
CREW TRANSPORT DELAY OUTSTATION MUC   Departure time was scheduled for 1035   Pickup time was scheduled for 0815   Crew transport did not arrive until 0853   We arrived at the airport at 0932   Security search started at 1000 and finished at 1013   Pushback at 1049,Outstation
There were four vans wanting for crew pick up from airport to hotel with total seating capacity of 28 (7 each van) crew total crew were 29 crew plus four cockpit crew so 33 in total There were 16 operating crew and the rest were deadhead crew,Outstation
Crew bus was late when arriving in NCE to pick up the crew Crew bus was 20mns late,Outstation
DELAYED CREW TRANSPORT contributed in overall delay in departure Crew were available at bus bay: 1233 HRS DXB Bus left COC: 1238 HRS (Delay due to bus driver unavailable) Bus arrived at the bay: 1248 (58 minutes before departure) Boarding started: 1309 HRS (instead of 1300 HRS) 09 minutes delay caused due to crew transportation delay,Base (Dubai)
after pick up from the Airport and on the way to the hotel we were stopped half way by the Police and the bus driver was asked to show papers with All the crew names and the form should be specified with Emirates on it and the transport company name as W,Outstation
"Chauffeur drive not showing    During customer welcoming on ground out of Dubai Ms ALmedawi complained of the Chauffeur driver not show up at All, the Scheduled pick up as per Mrs ALmedawi suppose to be at 13:30 from Sharjah as she booked it earlie",Base (Dubai)
"Chauffeur drive not showing    During customer welcoming on ground out of Dubai Ms ALmedawi complained of the Chauffeur driver not show up at All, the Scheduled pick up as per Mrs ALmedawi suppose to be at 13:30 from Sharjah as she booked it earlie",Base (Dubai)
"Chauffeur drive not showing    During customer welcoming on ground out of Dubai Ms ALmedawi complained of the Chauffeur driver not show up at All, the Scheduled pick up as per Mrs ALmedawi suppose to be at 13:30 from Sharjah as she booked it earlie",Base (Dubai)
Pick up   Late Bus     Bus was late for pick up in hotel around 11 minutes  We were later informed by Hotel staff  No impact on operations,Outstation
From the hotel to the airport the bus ride was very hot Asked the driver to increase the aircondition of the bus The bus driver said this is the maximum,Outstation
The pickup bus air condition was very bad to and from the hotel for EK231232 There are one big bus and one mini bus for our pickup and drop The big bus air condition was very poor and it was relay warm inside the bus The mini bus was ok no issues,Outstation
CHAUFFEUR DRIVE REQUESTED BY CUSTOMER  Couple seated in 18EF requested a chauffeur drive on arrival in SFO,Outstation
The crew transport from the airport had NO air conditioning Temp inside the bus was extremely hot No windows available to open,Outstation
