description,sentiment,PClass,PConfidence,SClass,SConfidence
"Customer claim he was promised extra seats         Customer claimed that , he was promised  seats together for him to stretch as he is a WCHR customerCustomer showed frustration as he did not get what he claimed , was promised to him by EK staff",neutral,Airport,0.601938554,Dubai,Please manually Review
meal heated on ground  drinks with trays           Due to short flight 2h05min meal were heated on ground  All drinks were served directly on trays,neutral,Product Development,0.602444855,Ground to Pur Msgs,0.977246423
"IFE             During the dinner service, Mrs Otterhem informed crew memebr that her son's IFE at 17B  was inoperative",neutral,Cabin Crew,0.610951231,Compliments,0.962607428
duty free target              duty free target was met and exceeded the duty free target should be 6000DHS  crew made sale of 6800DHS,neutral,Duty Free,0.611014029,Duty Free Targets,0.891866177
IFE NOT WORKING           8,negative,Airport,0.613227854,Outstation,0.932035179
Other meal option           Mr Ahli did not like the Adobong Manok (chicken) from the hot meal option  He was offered beef and mushroom stew but he did not like it as well   He claims that these are all Indian food   I explained that this are the only option for Lunch   But I offered him the salad from the crew meals and some tuna salad from the extra clean trays,neutral,Airport,0.619221219,Outstation,0.989854305
"Crossing cabins          Mrs Julia's friend came from YC to visit her  Mrs Julia's friend cried of joy once she saw her, then she jumped over the customer sleeping at 11E to reach Mrs Julia  Both ladies were chatting loudly in the cabin",neutral,Airport,0.633491807,Dubai,0.824291474
DF cards          No Duty Free cards were found to check if target was met or not,neutral,Airport,0.635156094,Dubai,0.98833256
GFML NOT PROVIDED              Mrs Mcgoldrick stated that she request for a GFML and it was provided on her previous flight with her name on it however there was no GFML  meal provided on this flight nor was it showing on her profile,neutral,Emirates Skywards,0.636374139,Transactions,0.991670347
Customer's feedback about Breakfast service started too early          There was an incorrect info passing to us about TOD from Cockpit crew which made us to start Breakfast service earlier than we were supposed to  Mr Ruud was upset and he in,negative,Product Development,0.63751963,Ground to Pur Msgs,0.989222143
Catered Cheese selection not matching menu cheese selection       Menu shows similar cheese selection provided on category 4 and 5 flights  Catered cheese equivalent to business class ie pre set,neutral,Product Development,0.64664196,YC SSQ Errors,Please manually Review
Catered Cheese selection not matching menu cheese selection       Menu shows similar cheese selection provided on category 4 and 5 flights  Catered cheese equivalent to business class ie pre set,neutral,Product Development,0.64664196,YC SSQ Errors,Please manually Review
CUSTOMER REQUESTING FOR AVML           Ms Cattaruzzacapo stated that she was a vegetarian and could not have an other options from our regular meal,neutral,Airport,0.646734449,Dubai,0.944169306
(written in inoperative category  as no category for  smoke detector)                      Lavatory smoke detector obstruction   Notice During we care schedule that smoke detector in toilet ( C )  at L2 station was obstructed with tissues  No smoke or cigarette smell were noticed,negative,Safety,0.649760815,Smoking,0.980649024
"CREW MEMBER EXCEED TARGET,              Samia exceeded the duty free target which is 2700AED Amount sold 5045AED",neutral,Duty Free,0.651600511,Duty Free Targets,0.835805896
"Seat recline           3 hours after take off, Ms Saito wanted to sleep and asked her bed to be preparedWhile preparing the bed, crew member noticed that the seat does not go fully flat as the footrest is pointing a little bit down",negative,Safety,0.655511594,Passenger Behaviour,Please manually Review
Customer Fainted by L3 door As she comes out of the Lavatory         Customer claimed to be 3 or 4 weeks pregnant but she isn't 100% sure   Customer's Husband claimed that this might have happened due to fatigue and lack of rest and food for the last couple of days,negative,Medical,0.657185859,Passenger,1
"CUSTOMER BEHAVIOUR ON DISEMBARKATION INTO DUBLIN           During the flight it was noted that Ms Jane was consuming alcohol However there was no obviousprominent behaviour from her being drunk during the flight, but on disembarkation she was",neutral,Security,0.66126447,General,0.97371628
GFML REQUEST          Please provide MRS BEGUM with a GFML for future flight,neutral,Emirates Skywards,0.663124566,Product Feedback,Please manually Review
4 D's           After receiving the PUR note from the previous flight (from 2days before our flight) about excess alcohol consumption of this customer and his accompanying group of friends 4D's were introduced during the flight,neutral,Security,0.670067227,General,0.982290375
CREW FEEBACK FOR DESSERT CHEESE FRUITS HOT BEVERAGE           Observed crew members struggling to clear half cabin for dessert service to take order  asked their feedback regarding it All crew stated that as customers are eating at different,neutral,Cabin Crew,0.674698633,Compliments,1
iO Customer                iO Customer Mr Ortiz was escorted by the ambassador from DXB Station  He was looked after very well during the flight all his requests were met,neutral,Emirates Skywards,0.676449525,IO customers,0.994618534
"Safety issue      After passing the check for the captain by 5 minutes (10 min for landing), Customer stood up and went to the toiletHe was made aware that that was not possible as captain expect cabin to be ready for safe landingMr AlMoajil ignored my instruction and used the toilet and locked the doorWhen he came out he inappropriately complained about not letting him use the toilet",negative,Safety,0.67704633,Passenger Behaviour,0.967761891
MOD wasn't used         MOD wasn't synced with the KIS tablet even though the flight was closed on ground KIS tablet was closed using ground staff internet Net gear was on however MOD or KIS tablet wasn't connected No customer complaint,negative,Product Development,0.690509849,Ground to Pur Msgs,0.854735233
"Changes to service start timing          TOD: 14:45 DXB timing  JC Lunch service started at 11:45  YC service started by 12:15   Reason, Captain communicated to me Moderate turbulence expected at14:30  It was agreed to have the cabin ready se",neutral,Product Development,0.691266647,YC SSQ Errors,Please manually Review
Kit bag was opened           Mr Pavlides received a kit bag that was already opened  He claimed that it was opened and the amenities inside were all used,neutral,Airport,0.694913496,Dubai,Please manually Review
Item availability         Item 2074 from drawer 1 was unavailable in both carts and it was not on the NIL stock list,negative,Duty Free,0.69635636,Duty Free Items,0.884188366
"CUSTOMER LEGS ARE SWALLEN       During cruise Mrs Rosana approached cabin crew claiming that her legs are swollen and tender Cabin crew moved Mrs Rosana to 3 vacant crew seats elevated legs SAMPLE WAS TAKEN S swollen legs, A no allergies, M A",negative,Medical,0.70010341,Passenger,0.974577178
"Customer didn't comply with the crew instructions 3 times during the flight              When the seatbelt sign was on, with crew seated after the captain made a passenger announcement, Mrs Sadhwani was observed using the restroom When asked to remain seated for safety purpose she stated: '' I really need to use the toilet, you're not going to stop me'' Customer was observed doing the same scenarios twice after the first incident and came to the galley to ask for wine and was observed using the lavatory after being asked to remain seated",neutral,Safety,0.702973577,Passenger Behaviour,0.941506263
"Skywards issue               Mr Duczenko wanted to upgrade to JC using his miles and this was doneWhile I was doing the upgrade on the KIS, the system got stuck and didn't register the first attemptThe system accepted the second attempt and he was successfully upgraded to JCLater when I checked his profile, I saw two upgrade attempts registered on the same flight from 59A to 23G charging him 57500 miles each and it couldn't be reverted",neutral,Emirates Skywards,0.708039394,Transactions,0.969624856
"Teamwork                 For this flight, a Gr2 crew was allocated the duties of UL1 due to FG1 calling sick  Sanaa Glaoui sn395930 accepted the challenge and seen to be training the Gr2 Alen Bogiv sn451771 for the FC service style and tasks",neutral,Cabin Crew,0.709268862,VCM,0.797063927
