description,sentiment,PClass,PConfidence,SClass,SConfidence
"Bad Weather      Due to bad weather, the cabin crew was asked to sit down for 5 inutes for safety reason  Tea and coffee was not done as it was not safe to do so  Captain informed that the turbulence will last for approximately 45 minutes",negative,Product Development,0.7620537889522371,Ground to Pur Msgs,Please manually Review
Baby too big for bassinet    Mr Hill asked crew for the baby bassinet but the infant was way too big so crew declined the bassinet Mr Hill stated that he got the bassinet on his previous flight,neutral,Safety,Please manually Review,Passenger Behaviour,0.9684157428219193
"Baby sleeping on the floor      Mr and Mrs Pinfield had laid down their child on the floor to sleep  CC Josephine (442949) requested them to remove the baby from the floor and customers asked for a baby bassinet CC Josephine noticed that the baby was too tall for the basinet and enquired about the weight of the baby Customers said the baby was 105 KG So Josephine said they would bring the basinet to check whether the length of the baby was within the limitations of the basinet At that time, the seat belt sign came on, so Josephine apologized and said she would come back with it once the seatbelt sign was extinguished Josephine returned with the baby basinet, but the customers said they did not want the basinet anymore",negative,Safety,Please manually Review,Passenger Behaviour,0.9553503341522885
"Baby not fitting safely in the baby bassinet      The customer requested a baby bassinet, but I have declined it as the bassinet we provide is too small for their baby  The customer claimed he has the bassinet on the previous sector  Please ensure consistency on all flights!",positive,Safety,Please manually Review,Passenger Behaviour,0.8830974286275236
"baby height      Her baby not fit properly ( legs not fully straight )  inside the bassinet  Please don't offered baby bassinet for their next sectors, for consistency  Customer insisted that she got confirmation from customer service that they be a",positive,Safety,Please manually Review,Passenger Behaviour,0.9314607861195123
AVML waitlisted     Customer said that she was provided AVML  on her flight from GLA DXB and for this sector its waitlisted Customer claimed that she had reconfirmed with her agent before traveling,neutral,Airport,Please manually Review,Dubai,0.9349643366001902
AVML Waitlist     Mrs Patel was on the waitlist for AVML special meal  The food was not provided,neutral,Product Development,Please manually Review,Ground to Pur Msgs,0.9862137141055071
AVML unavailable        There were a couple of customers who wanted to have AVML  The customer were as follows :24A  Mr Upadhyay 30G  Mr Rajiv 28 J Mrs Scott50A Mr Jha,neutral,Security,Please manually Review,General,0.9533001137355492
"AVML REQUESTED BY PAX NOT PROVIDED      The customer claimed that he had pre requested an AVML  The AVML was not provided It is also not reflecting on his profile  During our conversation, the customer explained that he had to change his original booking (January 31) to today's flight yesterday due to an emergency  The customer was fine with alternatives offered and understood that this might be a consequence of changing his flight booking 24 hours ago  He has a connecting flight to Delhi, however this is not showing on the KIS as well",negative,Airport,Please manually Review,Outstation,Please manually Review
AVML REQUESTED      Customer requested AVML was not catered on this flight Customer was disappointed because she stated to have ordered the meal when booking the ticket,neutral,Emirates Skywards,Please manually Review,Product Feedback,0.966955621618138
AVML REQUEST     Customer prefer to have AVML for future flights,neutral,Emirates Skywards,Please manually Review,Transactions,Please manually Review
AVML request      Please provide with an AVML for customer's next trip,neutral,Airport,0.8390370322315331,Dubai,0.966339644684444
"AVML REQUEST      During the service, Mr Gade requested an AVML  No AVML ordered on his profile",neutral,Emirates Skywards,Please manually Review,Transactions,Please manually Review
AVML request,No Enough Text,Airport,Please manually Review,Dubai,0.9485480169510256
AVML LIGHT BITES WRAP     Customer claimed that the Asian vegetable wrap served during light bite service contains chicken Insisted that he will be writing a complain Placed one of the wraps inside product audit container with seal number A008994064 Service recovery report done separately,neutral,Security,Please manually Review,General,Please manually Review
"AVML delivery  US flights     We suggest that after delivering the other special meals, AVML get distributed in a full cart in the cabin, one cart on the left with a list, and one on the right, from forward to aft using 2 crew members  The remaining normal carts and bar will follow immediately  AVML cart will not carry drinks in order not to delay the remaining customers and confuse them",negative,Product Development,0.7757675497912225,Ground to Pur Msgs,0.9848720181610443
"AVML choice unavailable      During boarding, Mrs Rajasinghep told CSV Melissa that she requested for AVML for her family",negative,Security,Please manually Review,Audits,Please manually Review
AVML CANCELLATION REQUEST      Mrs Grayling requested to cancel her AVML,neutral,Emirates Skywards,Please manually Review,Product Feedback,0.8147142814141003
AVML    Mrs Raj states she had requested a AVML before her flight,neutral,Airport,Please manually Review,Dubai,0.9637840740772713
Audio inop     Mr Buchanan complained that he couldn't hear any audio from his headset,negative,Security,0.7510652843153293,General,0.9722641467511158
"armed warning light      ML4 door  When the door was tried to open for catering access, the armed warning light illuminated  Door opening procedure was immediately stopped and handle put down closed  Door operator and checker did not any further attempts to open the door and informed the purser",neutral,Safety,Please manually Review,Doors,0.9797236722784506
Arabic Mezze      Customer ordered Arabic mezze  Shortage pf 01 Arabic Mezze was experience,neutral,Airport,Please manually Review,Outstation,0.9632536250990603
Ara complained of a very strong headache with a pain level of 1010,negative,Medical,0.8713311560943884,Passenger,1.0
"APPRECIATION     Customer forgot to pre order her GFML on her previous flight, Purser sent note and report to try to provide GFML for her next flights Appreciated",neutral,Emirates Skywards,Please manually Review,Product Feedback,0.8225715262761999
"Application  follow up      During cruise, Mr Chen asked CSV Melissa regarding his earned miles According to him, he travelled already in different sectors and wanted to checked how much miles he earned  However as CSV Melissa checked his profile, Mr Chen was not enrolled in skywards",neutral,Emirates Skywards,Please manually Review,Product Feedback,Please manually Review
"Appeared Upset About The Hat Rack Space     During boarding, Mr Islam looked upset and said there is no space for my bags (he had occupied two other hat racks above his seat and on the hat rack above 7K) He appeared impolite to the crew whenever he asked for something or whenever he asked the crew to remove the used items",negative,Security,0.9684085816294358,Suspicious Behaviour,0.8520614185287005
An ordered missed      Mr Mehta asked Cabin crew Arvind for a coffee on top of decent after leaving the toilet,negative,Medical,Please manually Review,Passenger,0.9606845185309936
ALLOCATED SEPERATE SEATS 7D 8D      Miss Tien was unsatisfied that she and her husband were not seated together for this flight,negative,Security,Please manually Review,Security Search,0.9685772979430439
"Allergy    Mrs Douglass informed crew that she was allergic to nuts and shellfishAfter the service about 1 hour before landing she informed crew that she was having some itching, but nothing severeCustomer was informed that we cannot guarantee her NUTFREE meal",negative,Medical,0.7822259240383553,Passenger,0.9925683044686682
